Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 85, discussion, ['discussions'| 'discussion'| 'débat'], ['discussions\xa0/']
0, 725, opened, ['ouvert'], ['ouvrit']
0, 1179, associated, ['associée'| 'associées'], ['associé']
0, 1688, nov, ['novembre'| 'nov'], ['/']
0, 1724, otherwise, ['autrement'| 'sinon'], ['nécessairement']
0, 3069, proved, ['prouvé'| 'prouvée'| 'prouvées'| 'prouvés'], ['avéra']
0, 3692, essentially, ['essentiellement'| 'fondamentalement'], ['sorte']
0, 3696, favor, ['faveur'], ['défaveur']
0, 4246, tourist, ['touriste'], ['touristique']
0, 5252, math, ['maths'| 'mathématique'| 'mathématiques'], ['math']
0, 5394, episcopal, ['épiscopale'], ['épiscopalien']
0, 5416, aerial, ['antenne'| 'aérien'| 'aérienne'], ['aerial']
0, 6247, enrolled, ['inscrits'| 'inscrit'], ['scolarisé']
0, 6284, receiver, ['récepteur'| 'destinataire'| 'receveur'], ['receiver']
0, 6938, demanded, ['exigé'], ['exigea']
0, 7525, clinic, ['clinique'| 'dispensaire'], ['hôpital']
0, 8168, flowing, ['coulant'], ['écoulant']
0, 8853, #ffffff, ['#ffffff'], ['#ffde']
0, 8910, investigating, ['enquêter'], ['enquêtant']
0, 9016, backs, ['dos'], ['arrières']
0, 9303, dirt, ['saleté'| 'crasse'], ['asphalt']
0, 9514, advancement, ['avancement'], ['advancement']
0, 9637, strand, ['volet'| 'brin'], ['strand']
0, 9646, employ, ['emploient'], ['employer']
0, 9651, tunes, ['mélodies'| 'airs'], ['melodies']
0, 9668, snails, ['escargots'], ['gastéropodes']
0, 10082, garde, ['garde'], ['gardiste']
0, 10096, fcc, ['fcc'| 'csa'], ['crtc']
0, 10454, awkward, ['gênant'| 'maladroit'| 'embarrassant'], ['confus']
0, 10727, apologies, ['excuses'], ['excuse']
0, 11245, comma, ['virgule'], ['tirets']
0, 11576, seventeenth, ['xviie'| 'seventeenth'], ['xviième']
0, 11747, mortal, ['mortels'| 'mortel'| 'mortelle'], ['mortal']
0, 12119, weighed, ['pesé'| 'pesée'], ['pesait']
0, 12180, collects, ['recueille'| 'collectionne'], ['collectant']
0, 12511, darts, ['fléchettes'], ['snooker']
0, 13401, terminals, ['terminaux'| 'bornes'], ['terminal']
0, 13912, snooker, ['billard'], ['snooker']
0, 14231, reminded, ['rappelé'], ['rappelle']
0, 14721, scheduling, ['ordonnancement'], ['plannings']
0, 15233, outlines, ['contours'], ['résumant']
0, 16822, fuzzy, ['floue'], ['flous']
0, 16922, guarantees, ['garanties'], ['garantit']
0, 17124, pictorial, ['picturale'], ['pictorial']
0, 18077, tariff, ['tarifaire'| 'tarifaires'| 'tarif'], ['douanières']
0, 18272, oven, ['four'], ['poêle']
0, 18564, branching, ['branchement'], ['ramification']
