Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 232, party, ['黨'| '政黨'| '宴會'| '派對'| '聚會'], ['黨']
0, 408, though, ['雖然'], ['雖然']
0, 484, street, ['街頭'| '街道'| '街'], ['街']
0, 491, help, ['幫助'| '幫忙'], ['幫助']
0, 553, students, ['學生'], ['學生']
0, 560, albums, ['相簿'| '專輯'], ['專輯']
0, 731, health, ['健康'], ['健康']
0, 743, consensus, ['共識'], ['共識']
0, 830, future, ['今後'| '將來'| '未來'], ['未來']
0, 852, rev, ['rev'], ['rev']
0, 869, musical, ['音樂'| '音樂劇'], ['音樂']
0, 872, medical, ['醫療'| '醫務'| '醫學'], ['醫療']
0, 943, bank, ['銀行'], ['銀行']
0, 1059, editing, ['剪輯'| '編輯'], ['編輯']
0, 1062, multiple, ['多重'| '多種'| '多個'], ['多個']
0, 1079, money, ['金錢'| '錢'], ['金錢']
0, 1366, parish, ['教區'], ['教區']
0, 1522, basis, ['基礎'| '依據'], ['依據']
0, 1619, remaining, ['剩餘'], ['剩餘']
0, 1627, hour, ['時辰'| '小時'], ['小時']
0, 1661, gallery, ['畫廊'], ['畫廊']
0, 1822, remove, ['刪除'| '移除'], ['移除']
0, 1943, versions, ['版本'], ['版本']
0, 2105, theme, ['專題'| '主題'], ['主題']
0, 2135, positions, ['職位'], ['職位']
0, 2236, simon, ['simon'| '西蒙'| '西門'], ['西蒙']
0, 2350, confirmed, ['確認'], ['確認']
0, 2479, warning, ['警告'], ['警告']
0, 2550, interior, ['內政'| '內部'| '內地'], ['內部']
0, 2748, sky, ['天空'| 'sky'], ['天空']
0, 2772, detail, ['細節'| '詳細'| '詳情'], ['細節']
0, 2911, walls, ['牆壁'| '城牆'| '牆'], ['牆壁']
0, 3024, creative, ['創作'| '創意'| '創造性'], ['創意']
0, 3025, maintain, ['維持'], ['維持']
0, 3028, facts, ['事實'], ['事實']
0, 3202, consecutive, ['連續'], ['連續']
0, 3269, expert, ['專家'], ['專家']
0, 3353, latest, ['最新'], ['最新']
0, 3356, explanation, ['解釋'], ['解釋']
0, 3818, hidden, ['隱藏'], ['隱藏']
0, 3913, harbor, ['海港'| '港灣'| '港'], ['海港']
0, 3927, merchant, ['商人'| '商家'], ['商人']
0, 4023, sculpture, ['雕塑'| '雕刻'], ['雕塑']
0, 4170, stable, ['穩定'| '馬廄'], ['穩定']
0, 4394, heroes, ['英雄'], ['英雄']
0, 4577, gradually, ['逐漸'], ['逐漸']
0, 4604, virus, ['病毒'], ['病毒']
0, 4982, dependent, ['依賴'], ['依賴']
0, 5054, button, ['按鍵'| '按鈕'], ['按鈕']
0, 5205, allegations, ['指控'| '指稱'], ['指控']
0, 5285, absolute, ['絕對'| '絕對值'], ['絕對']
0, 5309, manuscript, ['手稿'| '稿子'], ['手稿']
0, 5351, raid, ['突襲'], ['突襲']
0, 5740, graduation, ['畢業'], ['畢業']
0, 5777, rebel, ['叛亂分子'| '反叛'| '叛軍'], ['叛軍']
0, 5862, kitchen, ['廚房'], ['廚房']
0, 6397, crops, ['莊稼'| '農作物'| '作物'], ['作物']
0, 6472, toy, ['玩具'], ['玩具']
0, 6668, hypothesis, ['假設'| '假說'], ['假說']
0, 6785, lighthouse, ['燈塔'], ['燈塔']
0, 6883, consciousness, ['知覺'| '意識'], ['意識']
0, 6997, intensity, ['強度'| '密度'], ['強度']
0, 7017, explore, ['探索'], ['探索']
0, 7080, invitation, ['邀請'], ['邀請']
0, 7101, publicity, ['宣傳'| '公示'], ['宣傳']
0, 7212, jungle, ['叢林'], ['叢林']
0, 7299, civilization, ['文明'], ['文明']
0, 7366, misleading, ['誤導'], ['誤導']
0, 7399, missiles, ['導彈'], ['導彈']
0, 7402, finger, ['指頭'| '手指'], ['手指']
0, 7525, clinic, ['門診'| '診所'], ['診所']
0, 7617, strongest, ['最強'], ['最強']
0, 8037, caesar, ['凱撒'], ['凱撒']
0, 8121, simulation, ['模擬'], ['模擬']
0, 8387, ignoring, ['忽略'| '忽視'| '無視'], ['無視']
0, 8515, nazis, ['納粹黨'| '納粹'], ['納粹']
0, 8597, endurance, ['耐力'], ['耐力']
0, 8881, pronunciation, ['讀音'| '發音'], ['發音']
0, 8914, trigger, ['扳機'| '觸發'], ['觸發']
0, 9007, unemployment, ['失業'| '失業率'], ['失業率']
0, 9267, reporters, ['記者'], ['記者']
0, 9382, faithful, ['忠誠'| '忠實'], ['忠實']
0, 9427, ninja, ['忍者'], ['忍者']
0, 9435, curse, ['詛咒'| '咒'], ['詛咒']
0, 9455, oath, ['宣誓'| '誓'| '誓言'| '誓詞'], ['宣誓']
0, 9736, landscapes, ['景觀'], ['景觀']
1, 10436, disappointed, ['失望'], ['失望']
1, 10676, indicator, ['指標'], ['指標']
1, 11011, lava, ['岩漿'| '熔岩'], ['熔岩']
1, 11014, creativity, ['創造性'| '創意'| '創造力'], ['創意']
1, 11077, intervals, ['間隔'], ['間隔']
1, 11493, vocabulary, ['詞彙'| '字彙'], ['字彙']
1, 11796, tidal, ['潮汐'], ['潮汐']
1, 12032, cruel, ['殘酷'| '殘忍'], ['殘忍']
1, 12057, champagne, ['香檳酒'| '香檳'], ['香檳酒']
1, 13106, leopard, ['豹'| '獵豹'], ['獵豹']
1, 13279, bandwidth, ['頻寬'], ['頻寬']
1, 13521, exceeding, ['超過'], ['超過']
1, 13563, marketplace, ['市場'], ['市場']
1, 13676, satan, ['撒旦'], ['撒旦']
1, 13868, wasted, ['浪費'], ['浪費']
1, 14031, bail, ['交保'| '保釋'], ['保釋']
1, 14172, distinguishing, ['區分'], ['區分']
1, 14878, lawsuits, ['訴訟'], ['訴訟']
1, 15048, browse, ['瀏覽'], ['瀏覽']
1, 15307, envoy, ['特使'], ['特使']
1, 15648, oricon, ['oricon'], ['oricon']
1, 15671, fragile, ['脆弱'| '易碎'], ['脆弱']
1, 15736, listener, ['聽眾'], ['聽眾']
1, 15888, scarce, ['稀少'], ['稀少']
1, 15902, vineyards, ['葡萄園'], ['葡萄園']
1, 15905, smuggling, ['走私'| '偷渡'], ['走私']
1, 16193, gogh, ['gogh'], ['gogh']
1, 16291, comets, ['彗星'], ['彗星']
1, 17076, intercept, ['攔截'| '截獲'], ['攔截']
1, 17443, causeway, ['堤道'], ['堤道']
1, 17525, cracks, ['縫隙'| '裂縫'], ['裂縫']
1, 17952, equator, ['赤道'], ['赤道']
1, 18046, accelerate, ['加速'], ['加速']
1, 19123, lust, ['慾望'| '情慾'], ['慾望']
1, 19131, fallacy, ['謬論'| '謬誤'], ['謬誤']
1, 19393, immature, ['未成熟'], ['未成熟']
1, 19894, aura, ['光環'], ['光環']
1, 19915, incheon, ['仁川'], ['仁川']
1, 19963, refurbishment, ['整修'| '翻新'| '翻修'], ['翻新']
1, 19994, posture, ['態勢'| '姿態'| '姿勢'], ['姿勢']
1, 21323, mentors, ['導師'], ['導師']
1, 21387, permissible, ['容許'], ['容許']
1, 21592, blessings, ['祝福'], ['祝福']
1, 21953, bastion, ['堡壘'], ['堡壘']
1, 22536, logistical, ['後勤'], ['後勤']
1, 22581, pedestrians, ['行人'], ['行人']
1, 23306, courtship, ['求偶'| '求愛'], ['求偶']
1, 23425, fertilizer, ['施肥'| '肥料'| '化肥'], ['肥料']
1, 23635, condemn, ['譴責'], ['譴責']
1, 24248, cadre, ['幹部'], ['幹部']
1, 25171, underwear, ['內衣'| '內褲'], ['內衣']
1, 26060, desserts, ['甜點'], ['甜點']
1, 26238, defaults, ['違約'| '預設'], ['預設']
1, 26339, footprints, ['足跡'| '腳印'], ['腳印']
1, 26898, academician, ['院士'], ['院士']
2, 27522, insured, ['投保'], ['投保']
2, 27805, weave, ['織'| '編織'], ['編織']
2, 29378, incursions, ['入侵'| '侵入'], ['入侵']
2, 29794, ejection, ['彈射'], ['彈射']
2, 31422, kerosene, ['煤油'], ['煤油']
2, 31618, fingerprints, ['指紋'], ['指紋']
2, 33259, fingerprint, ['指紋'], ['指紋']
2, 36987, khaki, ['卡其'], ['卡其']
2, 37468, allergies, ['過敏'], ['過敏']
2, 37932, fluently, ['流利'], ['流利']
2, 38098, headstone, ['墓碑'], ['墓碑']
2, 38934, approvals, ['核准'| '批准'], ['核准']
3, 55194, beautification, ['美化'], ['美化']
3, 59620, extravagance, ['奢華'| '奢侈'], ['奢華']
3, 64749, housework, ['家務'], ['家務']
3, 68781, icebergs, ['冰山'], ['冰山']
3, 73966, altlink, ['altlink'], ['altlink']
3, 78219, dtd, ['dtd'], ['dtd']
3, 89255, shipowners, ['船東'| '船主'], ['船東']
4, 105566, curfews, ['宵禁'], ['宵禁']
4, 112307, hcn, ['hcn'], ['hcn']
4, 125117, edx, ['edx'], ['edx']
4, 125353, sveinsson, ['sveinsson'], ['sveinsson']
4, 159607, refseq, ['refseq'], ['refseq']
4, 164299, xda, ['xda'], ['xda']
4, 168191, partija, ['partija'], ['partija']
4, 180477, pzkpfw, ['pzkpfw'], ['pzkpfw']
