Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 504, http, ['http'], ['info/']
0, 1179, associated, ['associée'| 'associées'], ['associé']
0, 1236, iii, ['iii'], ['ii']
0, 1688, nov, ['novembre'| 'nov'], ['/']
0, 3069, proved, ['prouvé'| 'prouvée'| 'prouvées'| 'prouvés'], ['avéra']
0, 3692, essentially, ['essentiellement'| 'fondamentalement'], ['sorte']
0, 4246, tourist, ['touriste'], ['touristique']
0, 4574, gross, ['dégoûtant'| 'gross'| 'brut'| 'brutes'| 'brute'], ['tare']
0, 4587, pitch, ['lancer'| 'pitch'], ['sifflet']
0, 4790, geographic, ['géographique'| 'géographiques'], ['geographique']
0, 5252, math, ['maths'| 'mathématique'| 'mathématiques'], ['math']
0, 6247, enrolled, ['inscrits'| 'inscrit'], ['scolarisé']
0, 6284, receiver, ['récepteur'| 'destinataire'| 'receveur'], ['receiver']
0, 6938, demanded, ['exigé'], ['exigea']
0, 7525, clinic, ['clinique'| 'dispensaire'], ['hôpital']
0, 8168, flowing, ['coulant'], ['écoulant']
0, 8853, #ffffff, ['#ffffff'], ['#fff']
0, 8910, investigating, ['enquêter'], ['enquêtant']
0, 9016, backs, ['dos'], ['arrières']
0, 9303, dirt, ['saleté'| 'crasse'], ['asphalt']
0, 9514, advancement, ['avancement'], ['progrès']
0, 9637, strand, ['volet'| 'brin'], ['strand']
0, 9646, employ, ['emploient'], ['employer']
0, 9651, tunes, ['mélodies'| 'airs'], ['tunes']
0, 9668, snails, ['escargots'], ['tachinidae']
0, 10082, garde, ['garde'], ['gardiste']
0, 10096, fcc, ['fcc'| 'csa'], ['crtc']
0, 10454, awkward, ['gênant'| 'maladroit'| 'embarrassant'], ['maladroite']
0, 10727, apologies, ['excuses'], ['navré']
0, 11245, comma, ['virgule'], ['tiret']
0, 11576, seventeenth, ['xviie'| 'seventeenth'], ['xviième']
0, 11747, mortal, ['mortels'| 'mortel'| 'mortelle'], ['immortel']
0, 12119, weighed, ['pesé'| 'pesée'], ['pesait']
0, 12150, preacher, ['prédicateur'| 'pasteur'], ['prêcheur']
0, 12180, collects, ['recueille'| 'collectionne'], ['collectant']
0, 12511, darts, ['fléchettes'], ['snooker']
0, 13912, snooker, ['billard'], ['snooker']
0, 14231, reminded, ['rappelé'], ['rappelle']
0, 14721, scheduling, ['ordonnancement'], ['plannings']
0, 15233, outlines, ['contours'], ['résumant']
0, 16063, lucknow, ['lucknow'], ['allahabad']
0, 16922, guarantees, ['garanties'], ['garantit']
0, 17124, pictorial, ['picturale'], ['pictorial']
0, 18077, tariff, ['tarifaire'| 'tarifaires'| 'tarif'], ['accise']
0, 18166, waits, ['attend'], ['dort']
0, 18272, oven, ['four'], ['poêle']
0, 18564, branching, ['branchement'], ['ramification']
0, 19145, ami, ['ami'], ['romi']
0, 19190, outrageous, ['scandaleux'| 'scandaleuse'], ['hilarante']
0, 19317, layered, ['superposés'], ['superposé']
0, 20385, stigma, ['stigmates'| 'stigmatisation'| 'opprobre'], ['stigmate']
0, 20528, floats, ['chars'| 'flotteurs'], ['flottent']
0, 20630, artemis, ['artemis'], ['artémis']
0, 21419, dessert, ['dessert'], ['gâteau']
0, 21762, reforming, ['réformer'], ['réforme']
0, 22073, aggregation, ['agrégation'], ['agrégeant']
1, 22178, gunners, ['artilleurs'], ['canonniers']
