Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 14, was, ['fut'| 'etait'| 'était'], ['fut']
0, 69, two, ['two'| 'deux'], ['deux']
0, 85, discussion, ['discussions'| 'discussion'| 'débat'], ['discussion']
0, 123, january, ['janvier'], ['janvier']
0, 163, name, ['nommer'| 'nom'| 'dénomination'| 'noms'], ['nom']
0, 367, final, ['définitif'| 'finale'| 'final'| 'définitive'], ['finale']
0, 533, european, ['européens'| 'européennes'| 'européenne'| 'européen'], ['européen']
0, 565, important, ['importante'| 'important'| 'importantes'| 'importants'], ['important']
0, 574, act, ['agir'| 'loi'| 'acte'| 'act'], ['act']
0, 589, professional, ['professionnels'| 'professionnelle'| 'professionnel'| 'professionnelles'], ['professionnel']
0, 642, human, ['humaine'| 'humains'| 'humain'], ['humain']
0, 725, opened, ['ouvert'], ['ouvert']
0, 828, technology, ['technologique'| 'technologies'| 'technologie'], ['technologie']
0, 836, results, ['résultats'], ['résultats']
0, 868, characters, ['personnages'| 'caractères'], ['personnages']
0, 1008, eight, ['huit'| 'eight'], ['huit']
0, 1327, appearance, ['apparence'| 'apparition'| 'aspect'], ['apparition']
0, 1355, polish, ['polonaise'| 'polonaises'| 'polonais'], ['polonais']
0, 1441, frank, ['franck'| 'frank'], ['frank']
0, 1450, format, ['formater'| 'format'], ['format']
0, 1465, raised, ['élevé'| 'soulevées'], ['élevé']
0, 1504, forms, ['formes'| 'formulaires'], ['formes']
0, 1510, authority, ['autorité'], ['autorité']
0, 1530, entered, ['entré'| 'entrés'], ['entré']
0, 1556, crew, ['équipage'| 'équipages'], ['équipage']
0, 1566, faith, ['faith'| 'foi'], ['foi']
0, 1672, containing, ['contenant'], ['contenant']
0, 1724, otherwise, ['autrement'| 'sinon'], ['sinon']
0, 1838, andrew, ['andrew'| 'andré'], ['andrew']
0, 2135, positions, ['positions'], ['positions']
0, 2251, declared, ['déclarées'| 'déclarée'| 'déclaré'| 'déclarés'], ['déclaré']
0, 2252, constitution, ['constitution'], ['constitution']
0, 2291, athletics, ['athlétisme'], ['athlétisme']
0, 2294, oklahoma, ['oklahoma'], ['oklahoma']
0, 2319, alliance, ['alliance'| 'alliances'], ['alliance']
0, 2354, tools, ['outillage'| 'outils'], ['outils']
0, 2541, denmark, ['danemark'], ['danemark']
0, 2573, valid, ['valables'| 'valide'| 'valable'| 'valides'], ['valable']
0, 2650, represent, ['représenter'| 'représentent'], ['représenter']
0, 2718, borough, ['arrondissement'| 'borough'], ['borough']
0, 2726, fought, ['combattu'], ['combattu']
0, 2913, constituency, ['circonscription'], ['circonscription']
0, 2953, voting, ['vote'| 'voter'| 'votants'], ['vote']
0, 2961, baron, ['baron'], ['baron']
0, 2970, stuff, ['trucs'], ['trucs']
0, 2993, bot, ['bot'], ['bot']
0, 3031, socialist, ['socialistes'| 'socialiste'], ['socialiste']
0, 3302, sentences, ['phrases'], ['phrases']
0, 3355, victims, ['victimes'], ['victimes']
0, 3366, disney, ['disney'], ['disney']
0, 3369, associate, ['associé'| 'associés'| 'associée'| 'associer'], ['associé']
0, 3435, roll, ['rouler'| 'roll'| 'rouleau'], ['roll']
0, 3450, frequency, ['répétition'| 'périodicité'| 'fréquence'| 'fréquences'], ['fréquence']
0, 3489, uncle, ['tonton'| 'oncle'], ['oncle']
0, 3593, cook, ['cuisiner'| 'cuisinier'| 'cuire'| 'cook'| 'cuisinière'], ['cook']
0, 3627, horror, ['horreur'], ['horreur']
0, 3676, commerce, ['commerce'], ['commerce']
0, 3696, favor, ['faveur'], ['faveur']
0, 3706, martial, ['martial'| 'martiaux'], ['martiaux']
0, 3727, circumstances, ['circonstances'], ['circonstances']
0, 4009, democrats, ['démocrates'| 'démocrate'], ['démocrates']
0, 4237, mathematical, ['mathématique'| 'mathématiques'], ['mathématique']
0, 4261, denver, ['denver'], ['denver']
0, 4271, clock, ['horloge'| 'horloges'], ['horloge']
0, 4311, signing, ['signer'| 'signant'| 'signature'], ['signant']
0, 4313, citizen, ['citoyenne'| 'citoyen'], ['citoyen']
0, 4375, demolished, ['démolis'| 'démoli'| 'démolie'], ['démoli']
0, 4402, cooperation, ['coopération'| 'coopérations'], ['coopération']
0, 4554, newcastle, ['newcastle'], ['newcastle']
0, 4802, situations, ['situations'], ['situations']
0, 4867, qualification, ['qualifications'| 'qualification'], ['qualification']
0, 4906, parameters, ['paramètres'], ['paramètres']
0, 4957, phillips, ['philips'| 'phillips'], ['phillips']
0, 5092, beta, ['beta'| 'bêta'| 'béta'], ['bêta']
0, 5130, manufactured, ['fabriqués'| 'fabriqué'], ['fabriqué']
0, 5152, ram, ['ram'| 'bélier'], ['ram']
0, 5394, episcopal, ['épiscopale'], ['épiscopale']
0, 5416, aerial, ['antenne'| 'aérien'| 'aérienne'], ['aérienne']
0, 5505, acquisition, ['acquisition'], ['acquisition']
0, 5509, independently, ['indépendamment'], ['indépendamment']
0, 5565, cornwall, ['cornouailles'| 'cornwall'], ['cornouailles']
0, 5654, chi, ['chi'], ['chi']
0, 5690, certificate, ['certificats'| 'attestation'| 'certificat'], ['certificat']
0, 5816, mammals, ['mammifères'| 'mammifère'], ['mammifères']
0, 5835, probability, ['probabilités'| 'probabilité'| 'vraisemblance'], ['probabilité']
0, 5907, mechanics, ['mécano'| 'mécaniciens'| 'mécanique'| 'mécanicien'| 'mécaniques'], ['mécanique']
0, 5975, inches, ['pouces'| 'centimètres'], ['centimètres']
0, 6046, wishes, ['voeux'| 'désirs'| 'souhaits'| 'souhaite'| 'vœux'], ['souhaits']
0, 6113, forcing, ['forçant'| 'forcer'], ['forçant']
0, 6450, logical, ['logique'| 'logiques'], ['logique']
0, 6574, agenda, ['agenda'], ['agenda']
0, 6648, sculptures, ['sculptures'], ['sculptures']
0, 6721, particle, ['particule'| 'particules'], ['particule']
0, 6781, construct, ['construire'], ['construire']
0, 6826, tenor, ['ténor'], ['ténor']
0, 6892, stamp, ['cachet'| 'timbre'| 'timbres'| 'poinçon'| 'tampon'], ['timbre']
0, 6961, skull, ['crâne'| 'crânes'], ['crâne']
0, 6994, stationed, ['stationnés'| 'stationné'], ['stationné']
0, 7030, rubber, ['caoutchouc'], ['caoutchouc']
0, 7032, rifles, ['fusils'| 'carabines'], ['fusils']
0, 7055, ain, ['aïn'| 'ain'], ['ain']
0, 7104, watts, ['watt'| 'watts'], ['watts']
0, 7190, bombardment, ['bombardement'| 'bombardements'], ['bombardement']
0, 7337, lunar, ['lunaire'], ['lunaire']
0, 7368, stefan, ['stéphane'| 'stefan'], ['stefan']
0, 7516, castro, ['castro'], ['castro']
0, 7566, cheshire, ['cheshire'], ['cheshire']
0, 7613, carey, ['carey'], ['carey']
0, 7687, hampton, ['hampton'], ['hampton']
0, 7788, wheat, ['froment'| 'blé'], ['blé']
0, 7906, leather, ['cuir'| 'cuirs'], ['cuir']
0, 7969, payments, ['paiement'| 'paiements'], ['paiements']
0, 8090, auction, ['enchères'| 'enchère'], ['enchères']
0, 8103, slopes, ['pentes'| 'pistes'], ['pentes']
0, 8184, mongolia, ['mongolie'], ['mongolie']
0, 8220, transactions, ['opérations'| 'transactions'], ['transactions']
0, 8269, controller, ['manette'| 'contrôleur'], ['contrôleur']
0, 8733, constantine, ['constantin'| 'constantine'], ['constantin']
0, 8884, talented, ['talentueux'| 'douée'| 'talentueuse'], ['talentueux']
0, 8979, convincing, ['convaincre'| 'convaincante'| 'convaincant'| 'convaincants'], ['convaincant']
0, 9049, bart, ['bart'], ['bart']
0, 9287, agnes, ['agnès'| 'agnes'], ['agnes']
0, 9293, byron, ['byron'], ['byron']
0, 9608, projection, ['saillie'| 'projection'| 'projections'], ['projection']
0, 9619, gfdl, ['gfdl'], ['gfdl']
0, 9655, accent, ['accentué'| 'accentuation'| 'accent'| 'accents'], ['accent']
0, 10031, holden, ['holden'], ['holden']
0, 10219, sexually, ['sexuellement'], ['sexuellement']
0, 10239, stein, ['stein'], ['stein']
0, 10252, alley, ['alley'| 'allée'| 'ruelle'], ['alley']
0, 10358, castile, ['castille'], ['castille']
0, 10424, khorasan, ['khorasan'], ['khorasan']
0, 10497, samurai, ['samurai'| 'samouraï'| 'samouraïs'], ['samouraï']
0, 10738, confluence, ['confluence'| 'confluent'], ['confluent']
0, 10826, bubble, ['bulle'| 'bubble'| 'bulles'], ['bulles']
0, 10851, unionist, ['syndicaliste'| 'unioniste'], ['unioniste']
0, 10853, immunity, ['immunités'| 'immunité'], ['immunité']
0, 11230, reorganized, ['réorganisée'| 'réorganisé'], ['réorganisé']
0, 11280, reconstructed, ['reconstitué'| 'reconstruits'| 'reconstruite'| 'reconstruit'], ['reconstruit']
0, 11312, kang, ['kang'], ['kang']
0, 11582, fuck, ['merde'| 'putain'| 'baiser'| 'baise'| 'fuck'], ['fuck']
0, 11623, baja, ['baja'], ['baja']
