Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 324, off, ['ab'| 'off'| 'deaktiviert'], ['abgetrieben']
0, 428, records, ['platten'| 'aufzeichnungen'| 'rekorde'| 'records'| 'datensätze'], ['record']
0, 1062, multiple, ['vielfachen'| 'mehrfache'| 'multiple'| 'mehrere'| 'mehrfach'], ['mehreren']
0, 1444, launched, ['startete'| 'lanciert'| 'gestartet'], ['gestartete']
0, 1938, secret, ['geheim'| 'geheimnis'| 'secret'| 'geheimen'| 'heimlich'], ['geheime']
0, 2051, arrived, ['eingetroffen'| 'angekommen'], ['eintraf']
0, 2533, competitions, ['wettkämpfe'| 'wettbewerbe'| 'wettkampf'], ['wettbewerben']
0, 2612, calls, ['aufrufe'| 'fordert'| 'anrufe'| 'ruft'], ['antwortet']
0, 2729, magazines, ['magazin'| 'zeitschriften'], ['magazinen']
0, 2880, expressed, ['drückte'| 'ausgedrückt'], ['geäußert']
0, 3265, attend, ['teilnehmen'], ['besuchen']
0, 3392, moths, ['motten'], ['farn']
0, 3872, seek, ['suchen'], ['bemühen']
0, 3930, contested, ['angefochten'| 'beanstandete'], ['angetreten']
0, 4230, exit, ['ausfahrt'| 'beenden'| 'ausgang'| 'verlassen'| 'abfahrt'], ['exit']
0, 4306, speakers, ['sprecher'| 'lautsprecher'| 'redner'| 'referenten'], ['sprechern']
0, 4321, discussing, ['diskutieren'], ['besprechen']
0, 4432, clearer, ['klarer'| 'deutlicher'| 'klarere'], ['gewünscht']
0, 4579, managing, ['verwalten'], ['managen']
0, 4599, corresponding, ['entsprechenden'| 'entsprechender'| 'entsprechende'], ['korrespondierende']
0, 5730, realized, ['realisiert'| 'realisierte'| 'verwirklicht'], ['erkannt']
0, 5836, farms, ['betriebe'| 'bauernhof'| 'bauernhöfe'| 'höfe'], ['farmen']
0, 5927, sailed, ['segelte'| 'abgefahren'], ['schiffte']
0, 6796, wilderness, ['wildnis'| 'wüste'], ['wilderness']
0, 7692, relegation, ['relegation'| 'abstieg'], ['abstiegsgefahr']
0, 7724, gymnastics, ['gymnastik'], ['kunstturnen']
0, 7842, adopt, ['adoptieren'], ['einzuführen']
0, 7988, dodgers, ['dodgers'], ['cubs']
0, 8370, wingspan, ['spannweite'], ['flügelspannweite']
0, 8682, explosive, ['sprengstoff'| 'explosive'| 'sprengstoffe'], ['explosiven']
0, 9653, probable, ['vermutlich'| 'wahrscheinliche'| 'wahrscheinlicher'| 'wahrscheinlich'| 'wahrscheinlichen'], ['vermutlichen']
0, 9831, annexed, ['beigefügten'| 'beigefügt'], ['annektiert']
0, 9957, norse, ['nordischen'| 'nordische'], ['altnordischen']
0, 10248, tenants, ['pächter'| 'mieter'], ['heimstätten']
0, 10327, assumes, ['nimmt'| 'übernimmt'], ['annimmt']
0, 10470, logging, ['protokollierung'| 'einloggen'], ['logging']
0, 10744, spinning, ['spinnerei'| 'spinnen'], ['spinning']
0, 11320, gable, ['gable'], ['traufe']
0, 11334, palatinate, ['pfalz'], ['bayern']
0, 12014, brewers, ['brauereien'], ['brewers']
0, 12123, wishing, ['wünschen'| 'wünsche'], ['möchten']
0, 12134, lovely, ['schönen'| 'herrlich'| 'hübsche'| 'schöne'], ['wunderschön']
0, 12213, discouraged, ['entmutigt'| 'entmutigen'], ['verpönt']
0, 12483, straits, ['meerenge'], ['straits']
0, 12587, centred, ['zentriert'], ['mittelpunkt']
0, 12616, prasad, ['prasad'], ['lal']
0, 12843, encoding, ['codierung'| 'kodierung'], ['kodieren']
0, 13013, renovations, ['renovierung'| 'renovierungsarbeiten'], ['renovierungen']
0, 13061, potassium, ['kalium'], ['calcium']
0, 14046, medicinal, ['medizinisch'| 'arzneimittel'], ['heilkräuter']
0, 14244, hailed, ['gerufen'], ['gepriesen']
0, 14403, transports, ['transporte'], ['transporter']
0, 14526, swallow, ['schlucken'| 'schluck'], ['krähe']
0, 14549, tow, ['schleppen'], ['schlepp']
0, 14601, fairs, ['messen'| 'ausstellungen'], ['jahrmärkte']
0, 14629, drained, ['geleert'| 'entwässert'], ['ausgetrocknet']
0, 14856, scanning, ['gescannt'| 'scannen'| 'einlesen'], ['scanning']
0, 14886, dyer, ['dyer'], ['adams']
0, 14997, attendees, ['teilnehmern'| 'teilnehmer'], ['fachbesucher']
0, 15026, authorised, ['zugelassene'| 'genehmigt'| 'autorisierten'| 'zugelassen'], ['autorisiert']
0, 15070, remarkably, ['bemerkenswert'], ['äußerst']
0, 15243, policing, ['polizeiarbeit'| 'polizei'| 'polizeilichen'| 'polizeiliche'], ['kriminalitätsbekämpfung']
0, 15353, streetcar, ['straßenbahn'], ['streetcar']
0, 15540, wasp, ['wasp'], ['wespe']
0, 16035, downward, ['rückläufige'| 'rückläufig'| 'abwärts'], ['aufwärtsbewegung']
0, 16173, bored, ['langweilen'| 'langeweile'| 'langweilig'| 'gelangweilt'], ['langweilt']
1, 16475, warmian, ['ermland'], ['woiwodschaft']
1, 16577, topographic, ['topographische'], ['topografische']
1, 17110, woven, ['gewebe'], ['gewebt']
1, 17191, groves, ['groves'], ['raine']
1, 17259, assassins, ['attentäter'], ['assassinen']
1, 17284, slain, ['getötet'], ['geköpft']
1, 17883, swinging, ['schwingen'| 'swinging'], ['starr']
1, 17962, clutter, ['clutter'], ['übersichtlichkeit']
1, 18261, ctv, ['ctv'], ['cbc']
1, 18551, lasers, ['laser'], ['lasern']
1, 18722, mechanized, ['mechanisierten'], ['mechanisiert']
1, 19404, yemeni, ['jemenitische'| 'jemen'], ['jemenitischen']
1, 19758, rhetorical, ['rhetorische'], ['rhetorischen']
1, 20319, crows, ['krähen'], ['crows']
1, 20426, reclassified, ['umgegliedert'], ['umklassifiziert']
1, 20496, kalamazoo, ['kalamazoo'], ['michigan']
1, 20564, alerts, ['warnungen'| 'ausschreibung'| 'ausschreibungen'| 'benachrichtigungen'], ['warnmeldung']
1, 21505, calvinist, ['calvinistischen'], ['calvinist']
1, 21849, pleasing, ['erfreulich'], ['gesamteindruck']
1, 22271, shinto, ['shintō'], ['shinto']
1, 22302, erase, ['löschen'| 'auslöschen'], ['undo']
1, 22353, witty, ['witzige'| 'witzig'], ['geistreichen']
1, 22729, demonic, ['dämonische'], ['dämonischen']
1, 22744, farc, ['farc'], ['contras']
1, 22760, thinner, ['schmaler'| 'dünner'], ['dünnere']
1, 23506, paw, ['pfote'], ['paw']
1, 24025, mould, ['formen'| 'form'], ['mould']
1, 24263, cultivate, ['pflegen'], ['kultivieren']
1, 24318, disconnected, ['getrennt'| 'losgelöst'| 'abgeschaltet'| 'unterbrochen'], ['gekappt']
1, 24417, langford, ['langford'], ['rayner']
1, 24657, rook, ['turm'], ['brett']
1, 24992, diets, ['diäten'| 'diät'], ['ernährungsgewohnheiten']
1, 25117, utopian, ['utopisch'| 'utopie'], ['utopischen']
1, 25131, ribbons, ['bändern'| 'schleifen'| 'bänder'], ['kränze']
