Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 549, archived, ['archivado'| 'archivados'], ['asteroides/artículos']
0, 707, template, ['plantilla'], ['metaplantilla']
0, 992, fourth, ['cuarto'| 'cuarta'], ['tercer']
0, 1307, fine, ['bien'| 'fine'| 'fino'], ['bellas']
0, 1331, kind, ['amable'], ['entendernos']
0, 1413, claimed, ['reclamado'| 'reclamó'| 'reclamadas'| 'alegó'| 'reclamada'], ['afirmaron']
0, 1422, gets, ['obtiene'], ['salga']
0, 1539, tried, ['intenté'| 'intentado'| 'probado'], ['intentó']
0, 2235, guidelines, ['pautas'| 'orientaciones'| 'directrices'], ['normas']
0, 2579, update, ['actualizar'| 'actualización'], ['actualizo']
0, 2653, kitt, ['kitt'], ['asteroid']
0, 2955, looked, ['miré'], ['parecía']
0, 2993, bot, ['bot'], ['bots']
0, 3268, insurance, ['aseguradoras'| 'seguros'| 'aseguradora'| 'seguro'], ['reaseguros']
0, 3603, monitored, ['vigilado'| 'supervisado'], ['com/uploads/documents/competitions/fixtures/']
0, 3908, alive, ['viva'| 'vivos'| 'vivo'| 'alive'], ['morir']
0, 4166, ref, ['árbitro'| 'ref'| 'referí'], ['referencias»']
0, 4206, surviving, ['sobreviviendo'| 'sobrevivir'], ['sobreviviente']
0, 4739, accessed, ['consultado'| 'accedido'], ['accedida']
0, 4779, lisa, ['lisa'], ['sandra']
0, 5368, wise, ['sabia'| 'sabios'| 'wise'| 'sabias'| 'sabio'], ['valiente']
0, 6800, dubbed, ['doblada'| 'apodado'], ['llamado']
0, 6865, jorge, ['jorge'], ['taborda']
0, 7364, nationals, ['nacionales'], ['extranjeros']
0, 7413, assembled, ['montado'| 'reunido'| 'reunidos'], ['ensamblaron']
0, 7759, overcome, ['superar'| 'superada'| 'superación'], ['sobreponerse']
0, 7999, shed, ['cobertizo'| 'derramada'], ['galpón']
0, 8633, varsity, ['varsity'], ['intercollegiate']
0, 8662, loud, ['ruidoso'], ['ruidosa']
0, 8831, deadly, ['mortífero'| 'mortales'| 'mortal'], ['letal']
0, 9413, cake, ['pastel'| 'bizcocho'| 'torta'| 'tarta'], ['pastelitos']
0, 9420, meyrick, ['meyrick'], ['solpugidae']
0, 9776, iconic, ['emblemático'| 'icónico'], ['icónica']
0, 10162, nyc, ['nyc'], ['york']
0, 10524, disposal, ['eliminación'], ['desechos']
0, 10959, fitting, ['apropiado'], ['ceñido']
0, 11282, catcher, ['catcher'], ['bateador']
0, 11288, thirteenth, ['decimotercera'| 'decimotercer'], ['octavo']
0, 11329, stressed, ['subrayó'| 'estresado'| 'subrayado'], ['enfatizado']
0, 11518, coats, ['abrigos'], ['escudos']
0, 11885, calculus, ['cálculo'], ['álgebra']
0, 12158, ambient, ['ambiente'| 'ambiental'], ['ambient']
0, 12252, odi, ['odi'], ['eliminatorias']
0, 12858, forks, ['tenedores'| 'horquillas'], ['forks']
0, 12923, soloist, ['solista'], ['orquesta']
0, 13055, courier, ['correo'| 'mensajero'| 'mensajería'], ['courier']
0, 13443, butt, ['trasero'| 'culo'], ['butt']
0, 13647, spear, ['lanza'], ['espada']
0, 13881, motifs, ['motivos'], ['ornamentaciones']
0, 14253, bathroom, ['baño'], ['habitación']
0, 14488, pledged, ['prometido'| 'prometidos'], ['comprometió']
0, 14764, casualty, ['bajas'| 'siniestro'], ['heridos']
0, 14865, unreasonable, ['irracional'], ['injustificable']
0, 15242, implication, ['implicación'], ['necesariamente']
0, 16371, alvarez, ['alvarez'| 'álvarez'], ['contreras']
0, 16386, breuning, ['breuning'], ['gallerucida']
0, 16421, shrimp, ['camarón'| 'langostinos'| 'gambas'| 'camarones'| 'gamba'], ['almejas']
0, 16888, seo, ['seo'], ['hyung']
0, 17199, commodities, ['productos'| 'mercancías'], ['mercaderías']
0, 17330, grasses, ['pastos'], ['arbustos']
0, 18766, braking, ['frenando'| 'frenado'], ['frenos']
0, 19267, skirt, ['falda'], ['chaqueta']
0, 19284, reflex, ['reflejo'| 'reflejos'], ['propiocepción']
0, 20179, vicky, ['vicky'], ['pamela']
0, 20183, pageants, ['desfiles'], ['miss']
0, 20457, mayfield, ['mayfield'], ['wilburn']
0, 20734, reclaim, ['reclamar'| 'reclame'], ['recuperar']
0, 20855, nagpur, ['nagpur'], ['pune']
1, 21393, rodolfo, ['rodolfo'], ['marcucci']
1, 21908, duisburg, ['duisburg'], ['duisburgo']
1, 21919, narrows, ['narrows'| 'estrechos'| 'estrecha'], ['angosto']
1, 22159, denominational, ['confesionales'], ['presbiterianismo']
1, 22377, downed, ['derribado'], ['derribados']
1, 22595, epistle, ['epístola'], ['epístolas']
1, 22610, mcmanus, ['mcmanus'], ['donnelly']
1, 22655, howitzer, ['obús'], ['ametralladora']
1, 22955, alden, ['alden'], ['hendrickson']
1, 23277, moncton, ['moncton'], ['ontario']
1, 23573, assemblyman, ['asambleísta'], ['senador']
1, 23716, ids, ['identificaciones'| 'identificadores'], ['ids']
1, 23985, crocker, ['crocker'], ['banning']
1, 24066, defer, ['diferir'| 'aplazar'], ['decida']
1, 24166, malt, ['malta'], ['whiskies']
1, 24191, raza, ['raza'], ['shaab']
1, 24304, nürnberg, ['nuremberg'], ['nürnberg']
1, 24513, moorish, ['moro'| 'moros'], ['hispanomusulmán']
1, 25016, pleading, ['alegato'| 'suplicando'| 'súplicas'], ['juicio']
1, 25389, comprehensiveness, ['exhaustividad'], ['verificabilidad']
1, 25641, caters, ['atiende'], ['atienden']
1, 25974, gunman, ['pistolero'], ['tiroteo']
1, 26018, nee, ['nee'], ['mere']
1, 26127, chatter, ['charla'], ['¿conversación']
1, 26135, weiner, ['weiner'], ['rubenstein']
1, 26682, selectors, ['selectores'], ['seleccionadores']
1, 26720, revolts, ['revueltas'], ['rebeliones']
1, 27313, foundational, ['fundacional'], ['fundamentación']
1, 28338, undocumented, ['indocumentados'], ['indocumentado']
1, 28422, croat, ['croata'], ['croatas']
1, 28624, gramophone, ['gramófono'], ['gramophone']
1, 29252, detriment, ['detrimento'], ['perjudicando']
1, 29816, chino, ['chino'], ['nancho']
1, 29875, corrigan, ['corrigan'], ['connelly']
1, 30072, c@h, ['c@h'], ['tracking']
1, 30294, parabolic, ['parabólica'], ['parabólico']
1, 30641, boosting, ['impulsar'], ['incrementar']
1, 31565, parson, ['párroco'], ['reverendo']
1, 31607, affirmation, ['afirmación'], ['reafirmación']
1, 32743, polygons, ['polígonos'], ['teselados']
1, 32751, bowdoin, ['bowdoin'], ['dartmouth']
1, 32813, leamington, ['leamington'], ['tunbridge']
1, 32905, whitmore, ['whitmore'], ['gilford']
1, 32952, piloting, ['pilotaje'], ['pilotar']
1, 33038, warne, ['warne'], ['wilby']
1, 33164, goff, ['goff'], ['collier']
1, 33172, admonished, ['amonestó'], ['reprendido']
1, 33505, doreen, ['doreen'], ['helen']
1, 33942, standish, ['standish'], ['aldington']
1, 34169, mts, ['mts'], ['mmc']
1, 34314, comforts, ['confort'| 'comodidades'], ['consuela']
1, 34386, pawns, ['peones'], ['alfiles']
1, 34469, sik, ['sik'], ['woong']
1, 34657, bobbie, ['bobbie'], ['debbie']
1, 34860, intensify, ['intensificar'| 'intensificación'| 'intensifica'| 'intensifican'], ['intensificarse']
1, 35190, stavropol, ['stavropol'], ['stávropol']
1, 35644, cellphone, ['celular'], ['teléfono']
1, 35784, metering, ['medición'], ['multipunto']
1, 35813, hoisted, ['izada'], ['izado']
1, 36069, uncovering, ['descubriendo'], ['desvelando']
1, 36246, bodleian, ['bodleiana'], ['bodleian']
1, 36479, clinicians, ['clínicos'], ['pacientes']
1, 36523, sheboygan, ['sheboygan'], ['wisconsin']
1, 36700, sca, ['sca'], ['tga']
1, 36709, sorghum, ['sorgo'], ['maíz']
1, 36766, accented, ['acentuados'], ['acento']
1, 36846, govinda, ['govinda'], ['bhajan']
1, 36886, darter, ['darter'], ['phalacrocoracidae']
1, 37065, towne, ['towne'], ['bloomingdale']
1, 37749, maximizing, ['maximizar'], ['maximización']
1, 38032, milanese, ['milanés'], ['milanesa']
1, 38051, kasper, ['kasper'], ['christoffer']
1, 38124, discreet, ['discreto'| 'discreta'| 'discretos'], ['complaciente']
1, 38163, borac, ['borac'], ['radnički']
1, 38164, biometric, ['biométricos'], ['biométrica']
1, 38261, tous, ['tous'], ['également']
1, 38267, girdle, ['faja'], ['cintura']
1, 38389, hyder, ['hyder'], ['muzaffar']
1, 38519, bashkortostan, ['bashkortostán'], ['adigueya']
1, 39405, forde, ['forde'], ['dewhurst']
1, 39906, teak, ['teca'], ['maderas']
1, 40588, pires, ['pires'], ['gonçalves']
1, 40708, große, ['große'], ['großen']
1, 40765, noxious, ['nocivos'| 'nocivo'| 'nociva'| 'nocivas'], ['tóxicas']
1, 40958, vigilantes, ['vigilantes'], ['forajidos']
1, 41241, bindings, ['ataduras'], ['bindings']
1, 41387, honorius, ['honorio'], ['valentiniano']
1, 41556, oradea, ['oradea'], ['cluj']
1, 41627, vindication, ['reivindicación'], ['vindicación']
1, 41690, iro, ['iro'], ['kokoro']
1, 41985, fedor, ['fedor'], ['ivanchuk']
1, 42068, mamluks, ['mamelucos'], ['selyúcidas']
1, 42079, molasses, ['melaza'], ['azúcar']
1, 42785, huo, ['huo'], ['xiang']
1, 42876, eamon, ['eamon'], ['duffy']
1, 43833, schoolgirl, ['colegiala'], ['adolescente']
1, 44123, harrowing, ['desgarradora'], ['escalofriante']
1, 44640, bistro, ['bistro'], ['restaurante']
2, 44833, stjepan, ['stjepan'], ['branković']
2, 44911, redeeming, ['redentor'| 'canjear'], ['irreprochable']
2, 45791, loggins, ['loggins'], ['orbison']
2, 45965, godley, ['godley'], ['hewett']
2, 46316, wahl, ['wahl'], ['steinhoff']
2, 46833, gleizes, ['gleizes'], ['cézanne']
2, 47407, belated, ['tardía'], ['apresurada']
2, 47713, kabhi, ['kabhi'], ['pyaar']
2, 48029, fara, ['fara'], ['cassa']
2, 48112, misiones, ['misiones'], ['itatín']
2, 48463, swp, ['swp'], ['pcpe']
2, 48520, horrendous, ['horrenda'| 'horrendo'], ['horrible']
2, 48524, ledesma, ['ledesma'], ['villalva']
2, 48672, generality, ['generalidad'], ['conmutatividad']
2, 48765, thf, ['thf'], ['oh−']
2, 49354, larch, ['alerce'], ['abeto']
2, 49498, importers, ['importadores'], ['exportadores']
2, 49520, landfills, ['vertederos'], ['desechos']
2, 49676, maduro, ['maduro'], ['chávez']
2, 50179, singularities, ['singularidades'], ['topológicas']
2, 50271, tero, ['tero'], ['litmanen']
2, 51313, craton, ['cratón'], ['precámbrico']
2, 51397, sledgehammer, ['mazo'| 'maza'], ['motosierra']
2, 51410, gimeno, ['gimeno'], ['ganzabal']
2, 51667, niobium, ['niobio'], ['níquel']
2, 52110, faustino, ['faustino'], ['balbino']
2, 53455, wilf, ['wilf'], ['ollie']
2, 53459, sockers, ['sockers'], ['sounders']
2, 53522, teater, ['teater'], ['teatret']
2, 53686, kurtis, ['kurtis'], ['chuckie']
2, 53815, bjarne, ['bjarne'], ['bjørn']
2, 53961, bribing, ['sobornar'], ['sobornando']
2, 54230, cont, ['cont'], ['isi/disi']
2, 54645, mcbain, ['mcbain'], ['vaughn']
2, 54919, potemkin, ['potemkin'], ['potiomkin']
2, 55507, schwa, ['schwa'], ['glotal']
2, 55762, litters, ['camadas'], ['crías']
2, 56624, streda, ['streda'], ['fotbalový']
2, 56874, madina, ['madina'], ['mezquita']
2, 56955, picea, ['picea'], ['pícea']
2, 57159, anopheles, ['anopheles'], ['pseudoparasitus']
2, 57633, ironstone, ['siderita'], ['caliza']
2, 58067, mlp, ['mlp'], ['mmd']
2, 58140, backpacking, ['mochilero'], ['senderismo']
2, 58313, gnp, ['pnb'], ['pib']
2, 58358, mcduffie, ['mcduffie'], ['pickett']
2, 58523, lioness, ['leona'], ['harpía']
2, 58960, staves, ['duelas'], ['empuñaduras']
2, 59055, pinder, ['pinder'], ['worley']
2, 59194, androscoggin, ['androscoggin'], ['penobscot']
2, 59200, crispa, ['crispa'], ['cinnabarina']
2, 59433, resetting, ['restablecer'], ['temporización']
2, 59754, margolis, ['margolis'], ['berman']
2, 59947, poste, ['poste'], ['étrangères']
2, 60108, senshi, ['senshi'], ['shingeki']
2, 60190, roza, ['roza'], ['lyubov']
2, 60307, goodrem, ['goodrem'], ['minogue']
2, 60719, delineate, ['delinear'], ['delimitar']
2, 61213, strutt, ['strutt'], ['monckton']
2, 61417, kodama, ['kodama'], ['masakazu']
2, 61825, mcglynn, ['mcglynn'], ['driscoll']
2, 61877, squawk, ['graznido'], ['jetix']
2, 62312, pidgeon, ['pidgeon'], ['dewhurst']
2, 62732, dummer, ['dummer'], ['inglefield']
2, 62757, dubia, ['dubia'], ['grammostomum']
