Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 123, january, ['janvier'], ['novembre']
0, 533, european, ['européens'| 'européennes'| 'européenne'| 'européen'], ['europe']
0, 725, opened, ['ouvert'], ['rouvert']
0, 1179, associated, ['associée'| 'associées'], ['associé']
0, 1688, nov, ['novembre'| 'nov'], ['/']
0, 1724, otherwise, ['autrement'| 'sinon'], ['effectivement']
0, 3069, proved, ['prouvé'| 'prouvée'| 'prouvées'| 'prouvés'], ['avéra']
0, 3369, associate, ['associé'| 'associés'| 'associée'| 'associer'], ['assistant']
0, 3696, favor, ['faveur'], ['défaveur']
0, 4246, tourist, ['touriste'], ['touristique']
0, 4574, gross, ['dégoûtant'| 'gross'| 'brut'| 'brutes'| 'brute'], ['excédent']
0, 4587, pitch, ['lancer'| 'pitch'], ['pelouse']
0, 5252, math, ['maths'| 'mathématique'| 'mathématiques'], ['math']
0, 5394, episcopal, ['épiscopale'], ['épiscopalien']
0, 5416, aerial, ['antenne'| 'aérien'| 'aérienne'], ['aériennes']
0, 6247, enrolled, ['inscrits'| 'inscrit'], ['diplômé']
0, 6284, receiver, ['récepteur'| 'destinataire'| 'receveur'], ['receiver']
0, 6574, agenda, ['agenda'], ['militantisme']
0, 6938, demanded, ['exigé'], ['exigea']
0, 7525, clinic, ['clinique'| 'dispensaire'], ['pédiatrique']
0, 8168, flowing, ['coulant'], ['écoulant']
0, 8853, #ffffff, ['#ffffff'], ['#aaccff']
0, 8910, investigating, ['enquêter'], ['enquêtant']
0, 9016, backs, ['dos'], ['arrières']
0, 9303, dirt, ['saleté'| 'crasse'], ['asphalt']
0, 9514, advancement, ['avancement'], ['philanthropique']
0, 9637, strand, ['volet'| 'brin'], ['strand']
0, 9646, employ, ['emploient'], ['employer']
0, 9668, snails, ['escargots'], ['gastéropodes']
0, 10082, garde, ['garde'], ['gardiste']
0, 10096, fcc, ['fcc'| 'csa'], ['crtc']
0, 10454, awkward, ['gênant'| 'maladroit'| 'embarrassant'], ['déroutant']
0, 10727, apologies, ['excuses'], ['désolé']
0, 10851, unionist, ['syndicaliste'| 'unioniste'], ['travailliste']
0, 11245, comma, ['virgule'], ['tirets']
0, 11576, seventeenth, ['xviie'| 'seventeenth'], ['seizième']
0, 11747, mortal, ['mortels'| 'mortel'| 'mortelle'], ['mortal']
0, 12119, weighed, ['pesé'| 'pesée'], ['pesait']
0, 12180, collects, ['recueille'| 'collectionne'], ['collectant']
0, 12447, ljubljana, ['ljubljana'], ['zagreb']
0, 12511, darts, ['fléchettes'], ['snooker']
0, 12567, excerpt, ['extrait'], ['extraits']
0, 13912, snooker, ['billard'], ['snooker']
0, 14231, reminded, ['rappelé'], ['rappelle']
0, 14721, scheduling, ['ordonnancement'], ['plannings']
0, 14925, zeller, ['zeller'], ['staudinger']
0, 15233, outlines, ['contours'], ['résumant']
0, 16455, rani, ['rani'], ['madhuri']
0, 16822, fuzzy, ['floue'], ['indécidables']
0, 16922, guarantees, ['garanties'], ['garantit']
0, 17124, pictorial, ['picturale'], ['pictorial']
0, 18058, bestseller, ['bestseller'], ['seller']
0, 18077, tariff, ['tarifaire'| 'tarifaires'| 'tarif'], ['douanières']
0, 18272, oven, ['four'], ['poêle']
0, 18564, branching, ['branchement'], ['ramification']
0, 19145, ami, ['ami'], ['kohen']
0, 19190, outrageous, ['scandaleux'| 'scandaleuse'], ['ridicule']
0, 19317, layered, ['superposés'], ['superposant']
0, 20385, stigma, ['stigmates'| 'stigmatisation'| 'opprobre'], ['stigmate']
0, 20528, floats, ['chars'| 'flotteurs'], ['flottent']
0, 20630, artemis, ['artemis'], ['artémis']
0, 20641, cardboard, ['carton'], ['plastique']
0, 21419, dessert, ['dessert'], ['desserts']
0, 21834, cora, ['cora'| 'caro'], ['juanita']
0, 22073, aggregation, ['agrégation'], ['agrégateurs']
1, 22178, gunners, ['artilleurs'], ['canonniers']
1, 23310, assimilated, ['assimilés'| 'assimilé'| 'assimilée'| 'assimilées'], ['assimilation']
1, 23603, nuisance, ['nuisance'| 'nuisances'], ['nuisible']
1, 23733, envy, ['envier'| 'envie'| 'jalousie'| 'envieux'], ['cupidité']
1, 24000, macgregor, ['macgregor'], ['maclennan']
