Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 42, have, ['haben'| 'habe'], ['haben']
0, 273, church, ['kirchen'| 'church'| 'kirche'], ['kirche']
0, 287, system, ['system'], ['system']
0, 428, records, ['platten'| 'aufzeichnungen'| 'rekorde'| 'records'| 'datensätze'], ['records']
0, 450, find, ['findet'| 'finden'| 'finde'| 'suchen'], ['suchen']
0, 525, days, ['tage'| 'tagen'], ['tage']
0, 636, isbn, ['issn'| 'isbn'], ['isbn']
0, 694, russian, ['russisch'| 'russischen'| 'russen'], ['russischen']
0, 746, look, ['schau'| 'schauen'| 'guck'| 'schaut'], ['schauen']
0, 764, african, ['afrikanischen'| 'afrikanische'| 'afrikaner'], ['afrikanischen']
0, 843, model, ['vorbild'| 'model'| 'modell'], ['modell']
0, 1113, god, ['god'| 'allah'| 'gottes'| 'gott'], ['gott']
0, 1131, joseph, ['yusuf'| 'joseph'| 'josef'], ['joseph']
0, 1133, web, ['web'| 'netz'| 'webseite'| 'webseiten'], ['web']
0, 1144, jan, ['jan'], ['jan']
0, 1251, executive, ['exekutive'| 'führungskräfte'| 'führungskraft'| 'executive'| 'vorstand'], ['executive']
0, 1301, wing, ['flügel'| 'wing'], ['flügel']
0, 1330, friends, ['freundeskreis'| 'freundinnen'| 'friends'| 'freunden'| 'freunde'], ['freunde']
0, 1448, relationship, ['beziehungen'| 'beziehung'| 'verhältnis'], ['beziehung']
0, 1479, attention, ['aufgepasst'| 'beachtung'| 'aufmerksamkeit'| 'achtung'], ['aufmerksamkeit']
0, 1608, exist, ['existieren'| 'existiert'], ['existieren']
0, 1632, brothers, ['brüdern'| 'brothers'| 'brüder'], ['brüdern']
0, 1637, politicians, ['politikern'| 'politiker'], ['politikern']
0, 1639, ability, ['fähigkeit'| 'befähigung'| 'fähigkeiten'], ['fähigkeit']
0, 1666, jazz, ['jazz'], ['jazz']
0, 1693, distance, ['abstand'| 'entfernung'| 'distanz'| 'entfernungen'], ['distanz']
0, 1761, lies, ['liegt'| 'lügen'], ['liegt']
0, 1793, actual, ['tatsächlich'| 'tatsächlicher'| 'tatsächlichen'| 'tatsächliche'], ['tatsächlichen']
0, 1794, contributions, ['beiträge'], ['beiträge']
0, 1798, plants, ['anlagen'| 'pflanzen'| 'pflanze'], ['pflanzen']
0, 2084, offers, ['bietet'| 'angebot'| 'angeboten'| 'angebote'], ['bietet']
0, 2085, davis, ['davis'], ['davis']
0, 2127, planned, ['geplant'| 'geplante'| 'vorgesehen'| 'geplanten'], ['geplant']
0, 2206, acts, ['acts'| 'handlungen'| 'rechtsakte'], ['acts']
0, 2215, chance, ['chance'| 'gelegenheit'| 'zufall'], ['chance']
0, 2222, birds, ['vogelarten'| 'vögel'], ['vögel']
0, 2314, multi, ['multi'], ['multi']
0, 2480, alan, ['alan'], ['alan']
0, 2488, extremely, ['extrem'| 'äußerst'| 'außerordentlich'], ['äußerst']
0, 2599, strength, ['kraft'| 'stärke'| 'kräfte'| 'festigkeit'], ['stärke']
0, 2612, calls, ['aufrufe'| 'fordert'| 'anrufe'| 'ruft'], ['ruft']
0, 2657, dave, ['dave'], ['dave']
0, 2811, prix, ['prix'], ['prix']
0, 3014, anniversary, ['jubiläum'| 'hochzeitstag'| 'jahrestag'], ['jahrestag']
0, 3033, camera, ['digitalkamera'| 'kamera'| 'kameras'| 'videokamera'], ['kamera']
0, 3106, johnny, ['johnny'], ['johnny']
0, 3203, movies, ['kino'| 'filme'| 'kinos'], ['filme']
0, 3283, journey, ['reise'], ['reise']
0, 3347, producers, ['erzeuger'| 'hersteller'| 'produzenten'], ['produzenten']
0, 3362, stopped, ['aufgehört'| 'gestoppt'| 'angehalten'], ['gestoppt']
0, 3381, peninsula, ['peninsula'| 'halbinsel'], ['halbinsel']
0, 3457, ceo, ['geschäftsführung'| 'geschäftsführerin'| 'ceo'| 'vorstandsvorsitzender'| 'geschäftsführer'| 'vorstand'], ['ceo']
