centre	mentre
centre	centro
data	dati
case	caso
case	base
case	casa
case	cose
come	cose
come	nome
general	generale
name	nome
social	sociale
programme	programma
per	però
possible	possibile
based	base
quality	qualità
areas	area
date	data
date	dati
date	dato
control	controllo
person	persona
problems	problema
problems	problemi
interest	internet
personal	persona
problem	problemi
application	applicazione
done	donne
party	parti
april	aprile
present	presenza
european	europea
european	europa
series	serie
park	pari
art	arte
director	direttore
professional	professionale
question	questione
association	associazione
article	articoli
space	pace
position	posizione
europe	europeo
total	totale
political	politico
continue	continua
message	messaggi
economic	economica
economic	economico
decision	decisione
mark	mare
difficult	difficile
difficult	difficoltà
fire	lire
document	documento
document	documenti
practical	pratica
talk	tal
minister	ministri
contract	contratti
fine	fin
situation	situazioni
capital	capitale
sports	sport
comment	commenti
proposed	propone
figure	figura
posts	posta
difference	differenza
france	francese
lines	linee
supported	supporto
identify	identità
operation	operazione
machine	macchina
animal	anima
military	militari
critical	critica
elements	elemento
internal	intera
robert	roberto
german	germania
scale	sale
concern	concerto
administration	amministrativo
deliver	delibera
concerns	concerto
cars	caro
store	stare
medicine	medicina
medicine	medici
procedure	procedere
organised	organismi
tests	test
classic	classi
specified	specifici
participants	partecipanti
creation	creato
consumer	consumo
rail	rai
serve	server
artist	artisti
components	componente
nine	line
israel	israele
qualified	qualifica
efficient	efficienza
chinese	chiese
residential	residenti
quarter	quartiere
guardian	guardia
frame	frase
marine	marina
consent	consegna
opposite	apposita
formation	formativi
nov	nove
arrival	arrivano
contacts	contatti
furniture	fornitura
convention	convenzioni
turns	turno
occasion	occasioni
directive	direttivo
taste	tasse
democratic	democratica
editors	editore
millions	milione
classical	classica
adventure	avventura
experimental	sperimentale
structural	strutturali
independence	indipendenza
cope	copie
campaigns	campagne
solar	solare
applicant	applicata
vice	vite
vice	vince
euro	puro
champion	campioni
correspondence	corrispondenti
verse	versi
unto	unito
sporting	sportivi
urgent	urgente
productivity	produttivi
creativity	creatività
angel	angeli
sensible	sensibile
precisely	precise
consistently	consistenza
pen	open
accused	accuse
intense	intensa
intense	intese
evident	evidenti
gross	grossa
blank	black
gray	gay
pin	pino
invitation	invitati
distant	distinti
calm	calma
lens	les
transform	trasforma
bibliography	bibliografia
coat	chat
registrar	registri
architects	architetto
illustrate	illustrato
cafe	cade
motivated	motivato
dominant	dominante
contest	contesti
sponsors	sponsor
forests	foresta
forestry	foresta
oven	ven
tory	tony
beta	eta
deer	der
composer	composti
cart	card
costa	coste
consultations	consultazioni
interpret	interpreti
interpret	interprete
registers	resistere
vegetable	vegetali
stimulate	stimolare
senate	serate
bare	are
cant	cat
monument	monumenti
modifications	modificati
automotive	automobile
marie	mari
marie	marte
dare	dave
poorest	potresti
protests	protetto
corridor	corridoio
deliberate	deliberato
deliberate	delibere
spine	spike
hesitate	testate
bookshop	workshop
dos	dosi
fonts	font
continuation	continuando
observatory	osservatore
conservatory	osservatore
lent	sent
formulation	formulato
identifier	identifica
fork	form
cons	cos
bloom	boom
khan	han
vista	mista
orbit	orbita
ideological	ideologico
bind	bond
pretend	pretende
eliminated	eliminato
