Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 14, was, ['fue'| 'estaba'| 'era'], ['fue']
0, 67, other, ['otras'| 'otro'| 'otros'], ['otras']
0, 81, american, ['americano'| 'american'| 'estadounidense'| 'americanos'| 'americana'], ['estadounidense']
0, 116, where, ['where'| 'donde'| 'adonde'| 'dónde'], ['donde']
0, 154, players, ['jugadores'| 'reproductores'], ['jugadores']
0, 356, although, ['aunque'], ['aunque']
0, 487, too, ['también'| 'too'| 'demasiado'| 'tambien'], ['demasiado']
0, 517, office, ['oficinas'| 'oficina'| 'office'| 'despacho'], ['despacho']
0, 558, role, ['rol'], ['rol']
0, 574, act, ['ley'| 'acta'| 'acto'| 'act'], ['act']
0, 628, robert, ['robert'| 'roberto'], ['robert']
0, 707, template, ['plantilla'], ['plantilla']
0, 816, private, ['privados'| 'privadas'| 'privado'| 'privada'], ['privado']
0, 824, seven, ['siete'| 'seven'], ['siete']
0, 857, html, ['html'], ['html']
0, 1160, populated, ['poblada'| 'poblado'| 'pobladas'], ['pobladas']
0, 1213, engine, ['motores'| 'motor'], ['motor']
0, 1440, direct, ['directa'| 'directo'| 'directamente'| 'direct'| 'directos'| 'directas'], ['directa']
0, 1476, completely, ['totalmente'| 'completamente'], ['completamente']
0, 1482, von, ['von'], ['von']
0, 1501, territory, ['territorio'], ['territorio']
0, 1529, parents, ['progenitores'| 'padres'], ['padres']
0, 1539, tried, ['intenté'| 'intentado'| 'probado'], ['intentado']
0, 1642, wall, ['muralla'| 'pared'| 'murallas'| 'muro'], ['pared']
0, 1659, duke, ['duque'| 'ducado'| 'duke'], ['duque']
0, 1695, giving, ['dándole'| 'dandole'| 'regalando'| 'dando'], ['dándole']
0, 1800, origin, ['procedencia'| 'origen'], ['origen']
0, 2089, allows, ['permite'], ['permite']
0, 2195, presence, ['presencia'], ['presencia']
0, 2196, expansion, ['ampliación'| 'expansión'], ['expansión']
0, 2238, lyrics, ['letra'| 'letras'], ['letra']
0, 2261, pilot, ['pilot'| 'piloto'], ['piloto']
0, 2293, wind, ['viento'], ['viento']
0, 2482, diego, ['diego'], ['diego']
0, 2512, detroit, ['detroit'], ['detroit']
0, 2645, historian, ['historiador'], ['historiador']
0, 2653, kitt, ['kitt'], ['kitt']
0, 2836, influenced, ['influido'| 'influenciada'| 'influenciado'| 'influenciados'], ['influenciado']
0, 2881, josé, ['josé'], ['josé']
0, 2889, focused, ['concentrado'| 'enfocado'| 'enfocada'| 'centrado'| 'concentrados'], ['enfocado']
0, 2899, jimmy, ['jimmy'| 'jaime'], ['jimmy']
0, 2919, indonesia, ['indonesia'| 'indonesio'], ['indonesia']
0, 2993, bot, ['bot'], ['bot']
0, 3220, collaboration, ['colaborar'| 'colaboración'], ['colaboración']
0, 3268, insurance, ['aseguradoras'| 'seguros'| 'aseguradora'| 'seguro'], ['seguros']
0, 3279, thailand, ['tailandia'], ['tailandia']
0, 3283, journey, ['travesía'| 'viaje'| 'trayecto'], ['viaje']
0, 3344, finishing, ['finalizando'| 'terminando'| 'acabado'| 'acabando'], ['terminando']
0, 3360, slow, ['despacito'| 'lentitud'| 'lento'| 'lenta'| 'lentos'], ['lento']
0, 3401, poverty, ['pobreza'], ['pobreza']
0, 3507, measures, ['medidas'], ['medidas']
0, 3541, send, ['enviar'| 'envíe'| 'mandar'], ['enviar']
0, 3588, requests, ['solicita'| 'peticiones'| 'solicitudes'], ['solicitudes']
0, 3606, crash, ['choque'| 'crash'| 'accidente'| 'caída'], ['accidente']
0, 3614, tone, ['tonos'| 'tono'], ['tono']
0, 3634, franchise, ['franquicias'| 'franquicia'], ['franquicia']
0, 3908, alive, ['viva'| 'vivos'| 'vivo'| 'alive'], ['viva']
0, 4131, foster, ['foster'], ['foster']
0, 4139, muslims, ['musulmana'| 'musulmanes'| 'musulmán'], ['musulmanes']
0, 4153, attributed, ['atribuida'| 'atribuidas'| 'atribuidos'| 'atribuido'| 'atribuyó'], ['atribuido']
0, 4166, ref, ['árbitro'| 'ref'| 'referí'], ['ref']
0, 4204, metric, ['métricas'| 'métrica'], ['métricas']
0, 4267, jon, ['jon'], ['jon']
0, 4296, transition, ['transición'], ['transición']
0, 4439, leo, ['león'| 'leo'], ['leo']
0, 4458, ferry, ['ferry'| 'transbordador'| 'transbordadores'], ['ferry']
0, 4473, promoting, ['promocionar'| 'promocionando'| 'promoviendo'], ['promoviendo']
0, 4641, dramatic, ['dramática'| 'dramáticos'| 'dramáticas'| 'dramático'], ['dramático']
0, 4660, asp, ['asp'], ['asp']
0, 4669, connections, ['conexiones'], ['conexiones']
0, 4832, forty, ['cuarenta'| 'forty'], ['cuarenta']
0, 4962, novelist, ['novelista'], ['novelista']
0, 4989, blocking, ['bloqueando'| 'bloqueo'| 'bloquear'], ['bloquear']
0, 5007, respective, ['respectivo'| 'respectivas'| 'respectiva'| 'respectivos'], ['respectivos']
0, 5112, recovered, ['recuperado'| 'recuperadas'| 'recuperados'| 'recuperada'], ['recuperado']
0, 5255, nobel, ['nobel'], ['nobel']
0, 5277, recognised, ['reconocido'| 'reconocidas'| 'reconocidos'| 'reconocida'], ['reconocido']
0, 5363, veteran, ['veterano'| 'veteranos'], ['veterano']
0, 5368, wise, ['sabia'| 'sabios'| 'wise'| 'sabias'| 'sabio'], ['sabias']
0, 5419, altitude, ['altitud'], ['altitud']
0, 5502, recurring, ['recurrente'| 'recurrentes'], ['recurrente']
0, 5539, liu, ['liu'], ['liu']
0, 5656, indie, ['indie'], ['indie']
0, 5674, arrives, ['llega'], ['llega']
0, 5744, lighting, ['iluminación'| 'alumbrado'], ['iluminación']
0, 5813, recall, ['recordar'], ['recordar']
0, 5882, gravity, ['gravedad'], ['gravedad']
0, 5949, exploration, ['prospección'| 'exploración'| 'exploraciones'], ['exploración']
0, 6084, sheep, ['ovino'| 'ovinos'| 'ovejas'| 'oveja'], ['ovejas']
0, 6123, praise, ['elogio'| 'elogios'| 'alabanza'| 'alabanzas'| 'alabado'], ['alabanzas']
0, 6277, authorized, ['autorizado'| 'autorizadas'| 'autorizados'| 'autorizada'], ['autorizado']
0, 6408, deer, ['ciervos'| 'ciervo'| 'venado'], ['ciervos']
0, 6481, sanctuary, ['santuario'], ['santuario']
0, 6547, diana, ['diana'], ['diana']
0, 6603, tel, ['tel'], ['tel']
0, 6644, flute, ['flauta'], ['flauta']
0, 6705, acknowledged, ['reconocido'| 'reconoció'| 'reconocidos'| 'reconocida'], ['reconoció']
0, 6752, likewise, ['igualmente'], ['igualmente']
0, 6769, richards, ['richards'], ['richards']
0, 6842, lok, ['lok'], ['lok']
0, 6844, licensing, ['licencias'| 'licencia'], ['licencias']
0, 6912, tanzania, ['tanzania'], ['tanzania']
0, 6997, intensity, ['intensidad'], ['intensidad']
0, 7141, mature, ['maduras'| 'madurar'| 'madura'| 'maduro'], ['madura']
0, 7172, insufficient, ['insuficiente'| 'insuficientes'], ['insuficiente']
