Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 212, game, ['game'| '比賽'| '博弈'| '遊戲'], ['遊戲']
0, 232, party, ['黨'| '政黨'| '宴會'| '派對'| '聚會'], ['政黨']
0, 491, help, ['幫助'| '幫忙'], ['幫助']
0, 553, students, ['學生'], ['學生']
0, 560, albums, ['相簿'| '專輯'], ['專輯']
0, 741, range, ['山脈'| '範圍'| '射程'], ['範圍']
0, 743, consensus, ['共識'], ['共識']
0, 819, includes, ['包括'], ['包括']
0, 830, future, ['今後'| '將來'| '未來'], ['未來']
0, 852, rev, ['rev'], ['rev']
0, 869, musical, ['音樂'| '音樂劇'], ['音樂']
0, 872, medical, ['醫療'| '醫務'| '醫學'], ['醫療']
0, 943, bank, ['銀行'], ['銀行']
0, 1040, account, ['帳號'| '帳戶'], ['帳戶']
0, 1059, editing, ['剪輯'| '編輯'], ['編輯']
0, 1061, food, ['糧食'| '食品'| '食物'], ['食物']
0, 1062, multiple, ['多重'| '多種'| '多個'], ['多個']
0, 1079, money, ['金錢'| '錢'], ['金錢']
0, 1450, format, ['格式'| '形式'| '格式化'], ['格式']
0, 1453, failed, ['失敗'], ['失敗']
0, 1542, founder, ['創辦人'| '創始人'], ['創辦人']
0, 1567, racing, ['賽車'], ['賽車']
0, 1627, hour, ['時辰'| '小時'], ['小時']
0, 1661, gallery, ['畫廊'], ['畫廊']
0, 1772, answer, ['回答'| '答'| '答案'], ['回答']
0, 1943, versions, ['版本'], ['版本']
0, 2001, concert, ['音樂會'| '演唱會'], ['演唱會']
0, 2105, theme, ['專題'| '主題'], ['主題']
0, 2180, screen, ['螢幕'], ['螢幕']
0, 2236, simon, ['simon'| '西蒙'| '西門'], ['西蒙']
0, 2350, confirmed, ['確認'], ['確認']
0, 2426, effective, ['有效'], ['有效']
0, 2479, warning, ['警告'], ['警告']
0, 2708, progress, ['進步'| '進度'], ['進度']
0, 2748, sky, ['天空'| 'sky'], ['天空']
0, 2772, detail, ['細節'| '詳細'| '詳情'], ['細節']
0, 3011, print, ['印刷'| '列印'], ['印刷']
