Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 549, archived, ['archivado'| 'archivados'], ['archive']
0, 707, template, ['plantilla'], ['infobox']
0, 992, fourth, ['cuarto'| 'cuarta'], ['tercer']
0, 1331, kind, ['amable'], ['algo']
0, 1413, claimed, ['reclamado'| 'reclamó'| 'reclamadas'| 'alegó'| 'reclamada'], ['alegado']
0, 1422, gets, ['obtiene'], ['salga']
0, 2579, update, ['actualizar'| 'actualización'], ['actualizo']
0, 2955, looked, ['miré'], ['mirado']
0, 3603, monitored, ['vigilado'| 'supervisado'], ['pl']
0, 3908, alive, ['viva'| 'vivos'| 'vivo'| 'alive'], ['morir']
0, 4206, surviving, ['sobreviviendo'| 'sobrevivir'], ['superviviente']
0, 4473, promoting, ['promocionar'| 'promocionando'| 'promoviendo'], ['promover']
0, 4779, lisa, ['lisa'], ['debbie']
0, 5368, wise, ['sabia'| 'sabios'| 'wise'| 'sabias'| 'sabio'], ['valiente']
0, 6800, dubbed, ['doblada'| 'apodado'], ['llamado']
0, 7364, nationals, ['nacionales'], ['visas']
0, 7413, assembled, ['montado'| 'reunido'| 'reunidos'], ['ensamblado']
0, 7891, scots, ['escoceses'| 'escocesa'| 'escocés'], ['scots']
0, 7999, shed, ['cobertizo'| 'derramada'], ['galpón']
0, 8662, loud, ['ruidoso'], ['ruidosa']
0, 9420, meyrick, ['meyrick'], ['roewer']
0, 10524, disposal, ['eliminación'], ['provisión']
0, 10959, fitting, ['apropiado'], ['aligerado']
0, 11288, thirteenth, ['decimotercera'| 'decimotercer'], ['decimonoveno']
0, 11329, stressed, ['subrayó'| 'estresado'| 'subrayado'], ['enfatizado']
0, 11518, coats, ['abrigos'], ['escudos']
0, 11885, calculus, ['cálculo'], ['álgebra']
0, 12158, ambient, ['ambiente'| 'ambiental'], ['atmósferas']
0, 12252, odi, ['odi'], ['try']
0, 12664, papa, ['papá'| 'papa'], ['bon']
0, 12784, kicking, ['patear'| 'pateando'| 'patadas'], ['pateo']
0, 12858, forks, ['tenedores'| 'horquillas'], ['forks']
0, 13055, courier, ['correo'| 'mensajero'| 'mensajería'], ['courier']
