Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 324, off, ['ab'| 'off'| 'deaktiviert'], ['aufs']
0, 1062, multiple, ['vielfachen'| 'mehrfache'| 'multiple'| 'mehrere'| 'mehrfach'], ['mehreren']
0, 1266, property, ['grundstück'| 'eigenschaft'| 'immobilien'| 'immobilie'| 'eigentum'], ['grundstückes']
0, 1444, launched, ['startete'| 'lanciert'| 'gestartet'], ['gestartete']
0, 1807, guide, ['ratgeber'| 'führer'| 'reiseführer'| 'leitfaden'], ['guide']
0, 1938, secret, ['geheim'| 'geheimnis'| 'secret'| 'geheimen'| 'heimlich'], ['geheime']
0, 2051, arrived, ['eingetroffen'| 'angekommen'], ['eintraf']
0, 2065, traffic, ['verkehrs'| 'verkehr'| 'traffic'| 'datenverkehr'], ['verkehrsstaus']
0, 2533, competitions, ['wettkämpfe'| 'wettbewerbe'| 'wettkampf'], ['wettbewerben']
0, 2729, magazines, ['magazin'| 'zeitschriften'], ['magazinen']
0, 2880, expressed, ['drückte'| 'ausgedrückt'], ['geäußert']
0, 3265, attend, ['teilnehmen'], ['besuchen']
0, 3392, moths, ['motten'], ['eulenfalter']
0, 3872, seek, ['suchen'], ['bemühen']
0, 3878, stream, ['stream'], ['überlauf']
0, 3930, contested, ['angefochten'| 'beanstandete'], ['angetreten']
0, 4230, exit, ['ausfahrt'| 'beenden'| 'ausgang'| 'verlassen'| 'abfahrt'], ['exit']
0, 4306, speakers, ['sprecher'| 'lautsprecher'| 'redner'| 'referenten'], ['sprechern']
0, 4321, discussing, ['diskutieren'], ['besprechen']
0, 4432, clearer, ['klarer'| 'deutlicher'| 'klarere'], ['verständlicher']
0, 4579, managing, ['verwalten'], ['managing']
0, 4599, corresponding, ['entsprechenden'| 'entsprechender'| 'entsprechende'], ['korrespondierende']
0, 5730, realized, ['realisiert'| 'realisierte'| 'verwirklicht'], ['erkannt']
0, 5836, farms, ['betriebe'| 'bauernhof'| 'bauernhöfe'| 'höfe'], ['farmen']
0, 5888, graph, ['diagramm'| 'graph'| 'schaubild'| 'graphik'], ['graphen']
0, 6539, ellen, ['ellen'| 'eilen'], ['emily']
0, 6796, wilderness, ['wildnis'| 'wüste'], ['wilderness']
0, 7054, prey, ['beute'], ['beutetier']
0, 7692, relegation, ['relegation'| 'abstieg'], ['abstiegsgefahr']
0, 7724, gymnastics, ['gymnastik'], ['kunstturnen']
0, 7842, adopt, ['adoptieren'], ['einzuführen']
0, 7988, dodgers, ['dodgers'], ['cubs']
0, 8370, wingspan, ['spannweite'], ['flügelspannweite']
0, 8682, explosive, ['sprengstoff'| 'explosive'| 'sprengstoffe'], ['explosiven']
0, 9497, utilized, ['genutzt'| 'eingesetzt'| 'verwendete'| 'verwendet'], ['zurückgegriffen']
0, 9831, annexed, ['beigefügten'| 'beigefügt'], ['annektiert']
0, 9957, norse, ['nordischen'| 'nordische'], ['altnordischen']
0, 10248, tenants, ['pächter'| 'mieter'], ['hauptmieter']
0, 10327, assumes, ['nimmt'| 'übernimmt'], ['annimmt']
0, 10470, logging, ['protokollierung'| 'einloggen'], ['holzeinschlag']
0, 10744, spinning, ['spinnerei'| 'spinnen'], ['drehende']
0, 10749, impacts, ['wirkungen'| 'auswirkungen'], ['umweltveränderungen']
0, 11081, trombone, ['posaune'], ['kontrabass']
0, 11320, gable, ['gable'], ['staffelgiebel']
0, 11553, madness, ['wahnsinn'| 'wahn'| 'irrsinn'], ['wahnsinns']
0, 12014, brewers, ['brauereien'], ['brewers']
0, 12123, wishing, ['wünschen'| 'wünsche'], ['möchten']
0, 12134, lovely, ['schönen'| 'herrlich'| 'hübsche'| 'schöne'], ['wunderschön']
0, 12213, discouraged, ['entmutigt'| 'entmutigen'], ['unerwünscht']
0, 12483, straits, ['meerenge'], ['straits']
0, 12587, centred, ['zentriert'], ['mittelpunkt']
0, 12616, prasad, ['prasad'], ['prakash']
0, 12843, encoding, ['codierung'| 'kodierung'], ['kodierte']
0, 13013, renovations, ['renovierung'| 'renovierungsarbeiten'], ['renovierungen']
0, 13092, cbn, ['cbn'], ['rtl']
0, 14046, medicinal, ['medizinisch'| 'arzneimittel'], ['heilkräuter']
0, 14244, hailed, ['gerufen'], ['angesehenste']
0, 14403, transports, ['transporte'], ['transportern']
0, 14526, swallow, ['schlucken'| 'schluck'], ['krähe']
0, 14549, tow, ['schleppen'], ['schlepp']
0, 14601, fairs, ['messen'| 'ausstellungen'], ['jahrmärkte']
0, 14629, drained, ['geleert'| 'entwässert'], ['ausgetrocknet']
0, 14856, scanning, ['gescannt'| 'scannen'| 'einlesen'], ['scannern']
0, 14878, lawsuits, ['rechtsstreitigkeiten'| 'gerichtsverfahren'| 'klagen'| 'prozesse'], ['rechtsstreits']
0, 14997, attendees, ['teilnehmern'| 'teilnehmer'], ['fachbesucher']
0, 15026, authorised, ['zugelassene'| 'genehmigt'| 'autorisierten'| 'zugelassen'], ['autorisiert']
0, 15070, remarkably, ['bemerkenswert'], ['erstaunlich']
0, 15353, streetcar, ['straßenbahn'], ['streetcar']
0, 15635, coded, ['codiert'| 'verschlüsselt'| 'kodiert'], ['codes']
0, 16035, downward, ['rückläufige'| 'rückläufig'| 'abwärts'], ['abwärtsbewegung']
0, 16385, olaf, ['olaf'], ['sigurd']
1, 16475, warmian, ['ermland'], ['gołdapski']
1, 16577, topographic, ['topographische'], ['topografische']
1, 16757, muddy, ['muddy'], ['schlammigen']
1, 17110, woven, ['gewebe'], ['gewebt']
1, 17191, groves, ['groves'], ['banyan']
1, 17192, ingram, ['ingram'], ['poole']
1, 17259, assassins, ['attentäter'], ['assassinen']
1, 17284, slain, ['getötet'], ['erschlagen']
1, 17315, experimented, ['experimentiert'], ['experimentierte']
1, 17883, swinging, ['schwingen'| 'swinging'], ['balancieren']
1, 17962, clutter, ['clutter'], ['übersichtlichkeit']
1, 18261, ctv, ['ctv'], ['cbc']
1, 18551, lasers, ['laser'], ['lasern']
1, 19205, relational, ['relationale'], ['relationalen']
1, 19404, yemeni, ['jemenitische'| 'jemen'], ['jemenitischen']
1, 19758, rhetorical, ['rhetorische'], ['rhetorischen']
1, 20141, flavour, ['aroma'| 'geschmack'], ['geschmacklich']
1, 20319, crows, ['krähen'], ['crows']
1, 20426, reclassified, ['umgegliedert'], ['umklassifiziert']
1, 20496, kalamazoo, ['kalamazoo'], ['rapids']
1, 20564, alerts, ['warnungen'| 'ausschreibung'| 'ausschreibungen'| 'benachrichtigungen'], ['warnmeldung']
1, 20933, parenting, ['erziehen'| 'kindererziehung'| 'eltern'| 'erziehung'], ['sexualerziehung']
1, 20940, henning, ['henning'], ['eckhoff']
1, 21849, pleasing, ['erfreulich'], ['ansprechenden']
1, 22228, ardennes, ['ardennen'], ['ardennes']
1, 22302, erase, ['löschen'| 'auslöschen'], ['auszulöschen']
1, 22353, witty, ['witzige'| 'witzig'], ['geistreichen']
1, 22729, demonic, ['dämonische'], ['dämonischen']
1, 22760, thinner, ['schmaler'| 'dünner'], ['dünneren']
1, 23071, bieber, ['bieber'], ['timberlake']
1, 23185, shogunate, ['shogunat'], ['shōgunat']
1, 23447, agustín, ['agustín'], ['martín']
1, 23506, paw, ['pfote'], ['paw']
1, 24025, mould, ['formen'| 'form'], ['füller']
1, 24258, arresting, ['verhaften'| 'festnehmen'], ['festnahme']
1, 24263, cultivate, ['pflegen'], ['kultivieren']
1, 24318, disconnected, ['getrennt'| 'losgelöst'| 'abgeschaltet'| 'unterbrochen'], ['abgeschottet']
1, 24417, langford, ['langford'], ['chandler']
1, 24657, rook, ['turm'], ['rochade']
1, 24927, chimneys, ['schornsteine'], ['schornsteinen']
1, 24992, diets, ['diäten'| 'diät'], ['ernährungsgewohnheiten']
1, 25117, utopian, ['utopisch'| 'utopie'], ['utopischen']
1, 25131, ribbons, ['bändern'| 'schleifen'| 'bänder'], ['bestickt']
1, 25514, handwriting, ['handschrift'| 'handschriften'], ['schreibschrift']
1, 25594, dread, ['furcht'| 'fürchten'], ['tremors']
1, 25733, fireman, ['feuerwehrmann'], ['heizer']
1, 25890, plated, ['vergoldet'], ['neusilber']
1, 26719, teh, ['teh'], ['nu']
1, 26940, programmable, ['programmierbare'], ['programmierbaren']
1, 27139, beneficiary, ['begünstigten'| 'begünstigte'], ['nutznießer']
1, 27199, henriette, ['henriette'], ['albertine']
1, 27262, cereals, ['getreide'], ['getreidearten']
1, 27645, deterministic, ['deterministische'], ['deterministischen']
1, 27673, empowering, ['befähigen'| 'befähigt'], ['selbstbestimmte']
1, 27679, wac, ['wac'], ['ncaa']
1, 27869, conley, ['conley'], ['pittman']
1, 28123, counselors, ['betreuer'], ['counseling']
1, 28216, mcnulty, ['mcnulty'], ['taggart']
1, 28390, milt, ['milt'], ['hazy']
1, 28722, pedia, ['pedia'], ['wikepedia']
