Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 324, off, ['ab'| 'off'| 'deaktiviert'], ['abgetrieben']
0, 734, forces, ['streitkräfte'| 'kräfte'], ['truppen']
0, 1062, multiple, ['vielfachen'| 'mehrfache'| 'multiple'| 'mehrere'| 'mehrfach'], ['mehreren']
0, 1266, property, ['grundstück'| 'eigenschaft'| 'immobilien'| 'immobilie'| 'eigentum'], ['grundstückes']
0, 1335, entry, ['eintragung'| 'einreise'| 'eingang'| 'eintrag'| 'eintritt'], ['listung']
0, 1444, launched, ['startete'| 'lanciert'| 'gestartet'], ['gestartete']
0, 1807, guide, ['ratgeber'| 'führer'| 'reiseführer'| 'leitfaden'], ['guide']
0, 1938, secret, ['geheim'| 'geheimnis'| 'secret'| 'geheimen'| 'heimlich'], ['geheime']
0, 2051, arrived, ['eingetroffen'| 'angekommen'], ['eintraf']
0, 2065, traffic, ['verkehrs'| 'verkehr'| 'traffic'| 'datenverkehr'], ['verkehrsstaus']
0, 2533, competitions, ['wettkämpfe'| 'wettbewerbe'| 'wettkampf'], ['wettbewerben']
0, 2729, magazines, ['magazin'| 'zeitschriften'], ['magazinen']
0, 2880, expressed, ['drückte'| 'ausgedrückt'], ['geäußert']
0, 3265, attend, ['teilnehmen'], ['besuchen']
0, 3317, rice, ['reis'], ['bohnen']
0, 3392, moths, ['motten'], ['seidenpflanzengewächse']
0, 3872, seek, ['suchen'], ['bemühen']
0, 3878, stream, ['stream'], ['überlauf']
0, 3930, contested, ['angefochten'| 'beanstandete'], ['ausgetragen']
0, 4291, pen, ['pen'| 'kugelschreiber'| 'stift'| 'feder'], ['pseudonym']
0, 4306, speakers, ['sprecher'| 'lautsprecher'| 'redner'| 'referenten'], ['sprechern']
0, 4432, clearer, ['klarer'| 'deutlicher'| 'klarere'], ['verständlicher']
0, 4579, managing, ['verwalten'], ['managing']
0, 4599, corresponding, ['entsprechenden'| 'entsprechender'| 'entsprechende'], ['korrespondierenden']
0, 5332, phd, ['promoviert'| 'phd'| 'doktortitel'| 'promotion'| 'doktorarbeit'| 'doktor'], ['doktorgrad']
0, 5730, realized, ['realisiert'| 'realisierte'| 'verwirklicht'], ['vorausgesehen']
0, 5836, farms, ['betriebe'| 'bauernhof'| 'bauernhöfe'| 'höfe'], ['farmen']
0, 5888, graph, ['diagramm'| 'graph'| 'schaubild'| 'graphik'], ['graphen']
0, 6539, ellen, ['ellen'| 'eilen'], ['emily']
0, 6796, wilderness, ['wildnis'| 'wüste'], ['wilderness']
0, 7054, prey, ['beute'], ['beutetieren']
0, 7450, polar, ['polar'], ['polaren']
0, 7692, relegation, ['relegation'| 'abstieg'], ['klassenerhalt']
0, 7724, gymnastics, ['gymnastik'], ['trampolinturnen']
0, 7842, adopt, ['adoptieren'], ['einzuführen']
0, 7988, dodgers, ['dodgers'], ['cubs']
