Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 71, her, ['ее'| 'ей'| 'её'], ['мужа']
0, 202, user, ['пользователь'| 'пользователя'| 'пользователю'], ['участника']
0, 265, released, ['выпущено'| 'освобождены'| 'выпустила'| 'выпущен'| 'выпущена'], ['выпущенный']
0, 279, much, ['многое'| 'много'], ['больше']
0, 294, included, ['включенные'| 'включено'], ['включали']
0, 298, television, ['телевидения'| 'телевидение'| 'телевизор'], ['телевизионных']
0, 307, order, ['орден'| 'заказ'| 'заказать'| 'приказ'| 'порядок'], ['дабы']
0, 385, white, ['белые'| 'уайт'| 'white'| 'белый'| 'белое'], ['белым']
0, 439, species, ['видов'| 'виды'| 'вид'], ['земноводных']
0, 541, making, ['изготовление'], ['делая']
0, 652, personal, ['личная'| 'личные'| 'личное'| 'личного'| 'личный'], ['личной']
0, 711, question, ['вопрос'], ['вопроса']
0, 739, aircraft, ['авиация'| 'самолет'| 'самолеты'| 'самолёт'| 'самолета'], ['самолётов']
0, 765, able, ['способный'], ['удастся']
0, 786, changed, ['изменились'| 'изменилась'| 'изменился'| 'изменил'| 'изменилось'| 'изменено'], ['поменял']
0, 881, signed, ['подпись'| 'подписано'| 'подписан'| 'подписана'| 'подписаны'], ['подписал']
0, 902, lower, ['ниже'| 'нижняя'| 'нижний'| 'нижние'], ['нижней']
0, 931, thought, ['мысль'| 'думал'], ['понимал']
0, 959, industry, ['промышленности'| 'отрасль'| 'индустрия'| 'промышленность'], ['индустрии']
0, 1183, highway, ['шоссе'], ['автомагистралью']
0, 1197, nomination, ['назначение'| 'выдвижение'| 'номинации'], ['номинацию']
0, 1309, winter, ['зимняя'| 'зимний'| 'зима'| 'винтер'| 'зимние'], ['зимой']
0, 1362, claims, ['претензии'], ['утверждения']
0, 1399, politics, ['политики'| 'политика'], ['политической']
0, 1494, beach, ['пляж'| 'пляже'| 'beach'| 'бич'], ['пляжа']
0, 1534, amount, ['сумма'], ['количества']
0, 1572, swedish, ['шведский'| 'шведское'| 'шведская'| 'швеции'], ['шведского']
0, 1864, agreement, ['соглашение'], ['соглашения']
0, 1878, trust, ['доверие'| 'доверять'| 'довериться'], ['фонда']
0, 1891, suggested, ['рекомендуемые'| 'предлагаемые'| 'предложил'| 'предложено'], ['предположил']
0, 1901, garden, ['гарден'| 'сад'| 'garden'], ['саду']
0, 2161, paid, ['заплатил'], ['платил']
0, 2175, louisiana, ['луизиана'], ['огайо']
0, 2197, earl, ['эрл'], ['фицалан']
0, 2244, voivodeship, ['воеводство'], ['повята\xa0—']
0, 2331, surrounding, ['окружающие'], ['вокруг']
0, 2339, speaking, ['выступая'| 'говорящие'], ['говорящих']
0, 2433, performances, ['выступления'], ['концерты']
0, 2446, egypt, ['египет'], ['египте']
0, 2487, beat, ['бит'| 'победить'], ['полуфинале']
0, 2877, controversial, ['спорные'| 'спорных'| 'спорный'], ['спорным']
0, 3040, beautiful, ['красавица'| 'красивые'| 'красивая'| 'красиво'], ['красива']
0, 3110, hook, ['крючок'| 'крюк'| 'хук'], ['сноскам']
0, 3180, scheme, ['схема'], ['схему']
0, 3280, struck, ['ударил'], ['повредил']
0, 3372, ruled, ['постановил'], ['признал']
0, 3388, festivals, ['фестивалей'], ['фестивали']
0, 3458, monument, ['памятник'], ['монумент']
0, 3477, expression, ['выражение'], ['экспрессия']
0, 3534, honorary, ['почетный'], ['почётный']
0, 3557, jerusalem, ['иерусалим'], ['иерусалиме']
0, 3576, chess, ['шахматы'], ['шахматам']
0, 3737, arranged, ['организовал'], ['собраны']
0, 3755, boundary, ['граница'| 'границы'], ['границе']
0, 3828, rates, ['тариф'| 'ставки'], ['процентной']
0, 3852, phoenix, ['феникс'], ['провиденс']
0, 3874, tied, ['привязана'], ['забросив']
0, 3914, behaviour, ['поведение'], ['поведения']
0, 3966, familiar, ['знакомы'| 'знакомый'| 'знакомые'| 'знакомое'| 'знакомая'| 'знакомо'], ['тонкостях']
0, 4022, resource, ['ресурс'], ['ресурсы']
0, 4058, strip, ['стрип'| 'полоса'], ['комиксов']
0, 4126, affiliated, ['связанных'], ['аффилированным']
0, 4133, urls, ['url'], ['\\uparrow']
0, 4166, ref, ['судья'| 'ref'], ['сноска']
0, 4172, vessel, ['судно'| 'сосуд'| 'судна'], ['корабль']
0, 4213, adelaide, ['аделаида'], ['мельбурн']
0, 4439, leo, ['лео'| 'лев'], ['марк']
0, 4501, sharp, ['острая'| 'острые'| 'шарп'| 'острый'], ['угловатый']
0, 4523, elite, ['элиты'| 'элита'], ['элитных']
0, 4892, joan, ['джоан'], ['беатрис']
0, 4905, todd, ['тодд'], ['брайан']
0, 4910, han, ['хан'], ['хань']
0, 4912, celtic, ['кельтские'], ['кельтской']
0, 5131, deployed, ['развернуты'| 'развернутые'| 'развернуто'], ['передислоцирован']
0, 5210, disputed, ['спорных'], ['оспаривается']
0, 5220, panama, ['панаме'| 'панама'], ['панамы']
0, 5227, tape, ['кассета'| 'лента'| 'ленту'], ['магнитофона']
0, 5282, wilhelm, ['вильгельм'], ['фридрих']
0, 5331, wire, ['провод'], ['проволока']
0, 5347, lying, ['ложь'| 'лежа'| 'вру'| 'лгу'], ['лежит']
0, 5459, inherited, ['унаследовал'], ['унаследовано']
0, 5490, prod, ['prod'], ['кбу']
0, 5504, wealthy, ['богатых'| 'богатый'| 'богатые'], ['состоятельных']
0, 5518, judgment, ['суждение'], ['беспристрастности']
0, 5519, grammy, ['грэмми'], ['грэмми»']
0, 5675, hammer, ['молоток'| 'молот'], ['молота']
0, 5710, galaxy, ['галактика'| 'галактике'| 'galaxy'| 'гэлакси'], ['галактики']
0, 5716, georgian, ['грузии'| 'грузинская'], ['грузинского']
0, 5727, propaganda, ['пропаганды'| 'пропаганда'| 'пропаганду'], ['пропагандистского']
0, 5739, suspension, ['приостановление'], ['амортизаторов']
0, 5759, requiring, ['требующих'| 'требующие'], ['требовалось']
0, 5847, fringe, ['грань'], ['маргинальной']
0, 5895, metre, ['метр'], ['метров']
0, 6022, rod, ['стержень'| 'род'], ['боб']
0, 6171, engagement, ['вовлечение'], ['действий']
