Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 549, archived, ['archivado'| 'archivados'], ['asteroides/artículos']
0, 992, fourth, ['cuarto'| 'cuarta'], ['tercer']
0, 1307, fine, ['bien'| 'fine'| 'fino'], ['bellas']
0, 1331, kind, ['amable'], ['consista']
0, 1413, claimed, ['reclamado'| 'reclamó'| 'reclamadas'| 'alegó'| 'reclamada'], ['afirmaron']
0, 1422, gets, ['obtiene'], ['queda']
0, 2235, guidelines, ['pautas'| 'orientaciones'| 'directrices'], ['normas']
0, 2579, update, ['actualizar'| 'actualización'], ['actualizo']
0, 2955, looked, ['miré'], ['parecía']
0, 3603, monitored, ['vigilado'| 'supervisado'], ['monitoring']
0, 4206, surviving, ['sobreviviendo'| 'sobrevivir'], ['sobreviviente']
0, 4739, accessed, ['consultado'| 'accedido'], ['accedida']
0, 4779, lisa, ['lisa'], ['sandra']
0, 6800, dubbed, ['doblada'| 'apodado'], ['llamado']
0, 6865, jorge, ['jorge'], ['taborda']
0, 7364, nationals, ['nacionales'], ['extranjeros']
0, 7413, assembled, ['montado'| 'reunido'| 'reunidos'], ['ensamblaron']
0, 7759, overcome, ['superar'| 'superada'| 'superación'], ['sobreponerse']
0, 7891, scots, ['escoceses'| 'escocesa'| 'escocés'], ['scots']
0, 7999, shed, ['cobertizo'| 'derramada'], ['galpón']
0, 8633, varsity, ['varsity'], ['intercolegial']
0, 8662, loud, ['ruidoso'], ['ruidosa']
0, 8831, deadly, ['mortífero'| 'mortales'| 'mortal'], ['letal']
0, 9420, meyrick, ['meyrick'], ['roewer']
0, 9776, iconic, ['emblemático'| 'icónico'], ['icónica']
0, 10524, disposal, ['eliminación'], ['desechos']
0, 10959, fitting, ['apropiado'], ['ajustaba']
0, 11282, catcher, ['catcher'], ['bateador']
0, 11288, thirteenth, ['decimotercera'| 'decimotercer'], ['decimoquinto']
0, 11329, stressed, ['subrayó'| 'estresado'| 'subrayado'], ['condicionado']
0, 11518, coats, ['abrigos'], ['escudos']
0, 11885, calculus, ['cálculo'], ['álgebra']
0, 12158, ambient, ['ambiente'| 'ambiental'], ['ambient']
0, 12252, odi, ['odi'], ['try']
0, 12664, papa, ['papá'| 'papa'], ['bon']
0, 12858, forks, ['tenedores'| 'horquillas'], ['fork']
0, 13055, courier, ['correo'| 'mensajero'| 'mensajería'], ['courier']
0, 13443, butt, ['trasero'| 'culo'], ['butt']
0, 13647, spear, ['lanza'], ['hacha']
0, 13881, motifs, ['motivos'], ['estilizadas']
0, 14253, bathroom, ['baño'], ['habitación']
0, 14488, pledged, ['prometido'| 'prometidos'], ['comprometió']
0, 14764, casualty, ['bajas'| 'siniestro'], ['casualty']
0, 14865, unreasonable, ['irracional'], ['razonable']
0, 15047, cylinders, ['cilindros'], ['cilindro']
0, 15242, implication, ['implicación'], ['implicancia']
0, 16386, breuning, ['breuning'], ['gallerucida']
0, 17199, commodities, ['productos'| 'mercancías'], ['primas']
0, 17330, grasses, ['pastos'], ['gramíneas']
0, 18602, pharmaceuticals, ['farmacéuticos'| 'farmacéutica'| 'farmacéutico'], ['farmacéuticas']
0, 18766, braking, ['frenando'| 'frenado'], ['frenos']
0, 19284, reflex, ['reflejo'| 'reflejos'], ['pupilar']
