Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 71, her, ['ее'| 'ей'| 'её'], ['она']
0, 279, much, ['многое'| 'много'], ['мало']
0, 294, included, ['включенные'| 'включено'], ['включалась']
0, 307, order, ['орден'| 'заказ'| 'заказать'| 'приказ'| 'порядок'], ['короны']
0, 385, white, ['белые'| 'уайт'| 'white'| 'белый'| 'белое'], ['белым']
0, 541, making, ['изготовление'], ['делая']
0, 652, personal, ['личная'| 'личные'| 'личное'| 'личного'| 'личный'], ['личной']
0, 711, question, ['вопрос'], ['вопроса']
0, 739, aircraft, ['авиация'| 'самолет'| 'самолеты'| 'самолёт'| 'самолета'], ['самолётов']
0, 757, centre, ['центр'], ['центре']
0, 765, able, ['способный'], ['смогут']
0, 786, changed, ['изменились'| 'изменилась'| 'изменился'| 'изменил'| 'изменилось'| 'изменено'], ['поменял']
0, 789, course, ['курс'], ['пройдены']
0, 818, artists, ['художники'| 'артисты'| 'художников'| 'исполнители'], ['художественные']
0, 881, signed, ['подпись'| 'подписано'| 'подписан'| 'подписана'| 'подписаны'], ['подписал']
0, 902, lower, ['ниже'| 'нижняя'| 'нижний'| 'нижние'], ['верхней']
0, 931, thought, ['мысль'| 'думал'], ['понимал']
0, 959, industry, ['промышленности'| 'отрасль'| 'индустрия'| 'промышленность'], ['индустрии']
0, 1197, nomination, ['назначение'| 'выдвижение'| 'номинации'], ['номинацию']
0, 1216, illinois, ['иллинойс'], ['огайо']
0, 1309, winter, ['зимняя'| 'зимний'| 'зима'| 'винтер'| 'зимние'], ['зимы']
0, 1362, claims, ['претензии'], ['утверждения']
0, 1399, politics, ['политики'| 'политика'], ['политической']
0, 1516, cost, ['цена'| 'стоимость'| 'затраты'], ['стоимости']
0, 1534, amount, ['сумма'], ['количества']
0, 1572, swedish, ['шведский'| 'шведское'| 'шведская'| 'швеции'], ['шведского']
0, 1864, agreement, ['соглашение'], ['договор']
0, 1878, trust, ['доверие'| 'доверять'| 'довериться'], ['фонда']
