Bucket, Word ID, Source Word, True Translation, Predicted Translation
0, 14, was, ['был'| 'было'| 'была'], ['был']
0, 44, one, ['одна'| 'one'| 'одно'| 'один'], ['один']
0, 52, had, ['имел'], ['имел']
0, 92, years, ['годы'| 'лет'| 'years'], ['лет']
0, 334, said, ['саид'| 'сказал'], ['сказал']
0, 444, australia, ['австралия'| 'австралии'], ['австралии']
0, 465, union, ['союз'| 'union'| 'профсоюз'| 'юнион'| 'союза'], ['союза']
0, 627, together, ['вместе'], ['вместе']
0, 698, worked, ['работал'| 'работала'| 'сработало'| 'работали'], ['работал']
0, 753, wife, ['жене'| 'жена'| 'жены'], ['жена']
0, 757, centre, ['центр'], ['центр']
0, 789, course, ['курс'], ['курс']
0, 799, festival, ['festival'| 'фестиваль'], ['фестиваль']
0, 813, announced, ['объявлено'| 'объявили'| 'объявил'| 'объявленные'| 'объявила'], ['объявлено']
0, 818, artists, ['художники'| 'артисты'| 'художников'| 'исполнители'], ['художников']
0, 873, countries, ['стран'| 'страны'], ['стран']
0, 1104, seasons, ['сезонов'], ['сезонов']
0, 1162, allowed, ['разрешены'| 'допускается'| 'разрешено'], ['разрешено']
0, 1185, particularly, ['особенно'], ['особенно']
0, 1216, illinois, ['иллинойс'], ['иллинойс']
0, 1252, plant, ['растения'| 'завод'| 'растение'| 'растений'], ['растения']
0, 1325, stars, ['звёзды'| 'звезды'], ['звёзды']
0, 1344, boston, ['бостон'], ['бостон']
0, 1395, girl, ['девочка'| 'girl'| 'девчонка'| 'девушка'], ['девушка']
0, 1516, cost, ['цена'| 'стоимость'| 'затраты'], ['затраты']
0, 1520, johnson, ['джонсон'], ['джонсон']
0, 1524, reasons, ['причины'], ['причины']
0, 1552, importance, ['важность'], ['важность']
0, 1638, difficult, ['трудно'| 'трудное'| 'сложно'| 'трудный'], ['трудно']
0, 1687, types, ['типы'| 'типов'| 'виды'], ['типы']
0, 1711, dispute, ['спор'| 'споры'| 'спора'], ['спора']
0, 1716, conditions, ['условия'], ['условия']
0, 1718, races, ['гонки'], ['гонки']
0, 1748, check, ['проверьте'| 'чек'| 'проверка'| 'проверить'], ['проверить']
0, 1756, heritage, ['наследие'| 'наследия'], ['наследия']
0, 1776, mixed, ['смешанных'| 'смешанная'| 'смешанные'| 'смешанный'], ['смешанных']
0, 1833, widely, ['широко'], ['широко']
0, 1852, oregon, ['орегон'], ['орегон']
0, 1886, avoid, ['избежать'| 'избегать'| 'избегайте'], ['избежать']
0, 1887, tony, ['тони'], ['тони']
0, 2034, fox, ['фокс'| 'лиса'| 'fox'| 'лис'], ['fox']
0, 2040, philippines, ['филиппин'| 'филиппины'], ['филиппин']
0, 2149, critics, ['критики'| 'критиков'], ['критиков']
0, 2155, participated, ['участвовал'| 'участвовала'], ['участвовал']
0, 2168, shortsummary, ['shortsummary'], ['shortsummary']
0, 2173, eye, ['глаз'| 'око'], ['глаз']
0, 2198, max, ['max'| 'макс'], ['макс']
0, 2228, regions, ['регионы'], ['регионы']
0, 2322, sam, ['сэм'], ['сэм']
0, 2329, heat, ['тепло'| 'тепла'| 'жара'], ['тепла']
0, 2451, scoring, ['забив'], ['забив']
0, 2505, youtube, ['youtube'], ['youtube']
0, 2530, pieces, ['куски'| 'кусочки'], ['кусочки']
0, 2595, aviation, ['авиация'| 'авиации'], ['авиации']
0, 2615, magic, ['волшебство'| 'волшебная'| 'magic'| 'магия'], ['магия']
0, 2623, obtained, ['получено'| 'полученный'], ['получено']
0, 2673, princess, ['принцессы'| 'принцесса'], ['принцесса']
0, 2746, budget, ['бюджет'], ['бюджет']
0, 2757, ryan, ['райан'], ['райан']
0, 2799, skills, ['навыков'| 'навыки'], ['навыки']
0, 2801, passenger, ['пассажирских'| 'пассажир'| 'пассажира'], ['пассажирских']
0, 2829, turns, ['поворачивается'], ['поворачивается']
